mr,mr_new,pseudo_mr,text,da,entity,num_hops,num_triples
"inform(name[Eddie Holland], genre[rhythm and blues], award received[Johnny Mercer Award], record label[Motown], name[Corinne Bailey Rae], genre[rhythm and blues], name[Adele], genre[rhythm and blues], name[Screamin' Jay Hawkins], genre[rhythm and blues])",Eddie Holland genre rhythm and blues. Corinne Bailey Rae genre rhythm and blues. Leaving Here performer Eddie Holland. Eddie Holland award received Johnny Mercer Award. Eddie Holland record label Motown. Adele genre rhythm and blues. Screamin' Jay Hawkins genre rhythm and blues.,Eddie Holland rhythm and blues Corinne Bailey Rae Leaving Here Johnny Mercer Award Motown Adele Screamin' Jay Hawkins," Eddie Holland is a rhythm and blues artist who received the Johnny Mercer Award and signed with Motown record label. Corinne Bailey Rae, Adele and Screamin' Jay Hawkins are also rhythm and blues artists. Eddie Holland is the performer of Leaving Here.",inform,musicians,1,7
"verify_attribute(name[Billie Eilish], rating[excellent], award received[Grammy Award for Album of the Year], name[Bob Dylan], award received[Grammy Award for Album of the Year])",Billie Eilish rating excellent. Billie Eilish award received Grammy Award for Album of the Year. Bob Dylan award received Grammy Award for Album of the Year.,excellent Billie Eilish Grammy Award for Album of the Year Bob Dylan," Since you said Billie Eilish is excellent, do you think the same for other artists who won Grammy Award for Album of the Year such as Bob Dylan?",verify_attribute,musicians,1,3
"verify_attribute(name[John Lennon], rating[good], genre[experimental music], genre[beat music])",John Lennon rating good. John Lennon genre experimental music. John Lennon genre beat music.,good John Lennon experimental music beat music,You told me you like John Lennon's music. Does that extend to other beat and experimental music?,verify_attribute,musicians,1,3
"inform(name[Allie X], record label[Universal Music Group], country of citizenship[Canada], country of citizenship[Canada], name[Teena Marie], record label[Universal Music Group], name[Canada], award received[Nansen Refugee Award], award received[Nansen Refugee Award])",Allie X record label Universal Music Group. Teena Marie record label Universal Music Group. Allie X country of citizenship Canada. Canada award received Nansen Refugee Award. Allie X country of citizenship Canada. Canada award received Nansen Refugee Award.,Allie X Universal Music Group Teena Marie Canada Nansen Refugee Award Canada Nansen Refugee Award,Allie X and Teena Marie are both recording artists under the Universal Music Group. Allie X is from Canada and received the Nansen Refugee Award.,inform,musicians,1,6
"request_explanation(name[soul music], rating[okay], name[Bill Withers], genre[soul music])",soul music rating okay. Bill Withers genre soul music.,okay soul music Bill Withers,What do you find just okay about Bill Withers' soul music?,request_explanation,musicians,1,2
"inform(name[Avishai Cohen], genre[jazz], country of citizenship[Israel], genre[bebop], name[Joni Mitchell], genre[jazz], name[Bing Crosby], genre[jazz], name[Ann Hampton Callaway], genre[jazz])",Avishai Cohen genre jazz. Joni Mitchell genre jazz. Avishai Cohen country of citizenship Israel. Avishai Cohen genre bebop. Bing Crosby genre jazz. Ann Hampton Callaway genre jazz.,Avishai Cohen jazz Joni Mitchell Israel bebop Bing Crosby Ann Hampton Callaway," Avishai Cohen from Israel, is a jazz and bebop musician, as well as Joni Mitchell, Bing Crosby and Ann Hampton Callaway.",inform,musicians,1,6
"inform(name[David Phelps], genre[Christian music], name[Yazz], genre[Christian music], name[Aled Jones], genre[Christian music])",David Phelps genre Christian music. Yazz genre Christian music. Life Is a Church performer David Phelps. One Wintry Night performer David Phelps. Legacy of Love performer David Phelps. Legacy of Love performer David Phelps. Aled Jones genre Christian music.,David Phelps Christian music Yazz Life Is a Church One Wintry Night Legacy of Love Legacy of Love Aled Jones,"
David Phelps and Aled Jones are both Christian music artists. David Phelps is best known for his songs Life Is a Church and One Wintry Night, while Aled Jones is best known for his song Legacy of Love.",inform,musicians,1,7
"verify_attribute(name[Eddie Holland], rating[okay], genre[rhythm and blues])",Eddie Holland rating okay. Eddie Holland genre rhythm and blues. I Couldn't Cry If I Wanted To performer Eddie Holland.,okay Eddie Holland rhythm and blues I Couldn't Cry If I Wanted To,I recall you said I Couldn't Cry If I Wanted To was just okay. Do you not like all of Eddie Holland's rhythm and blues music in general?,verify_attribute,musicians,1,3
"inform(name[Sacha Distel], genre[jazz], award received[Knight of the Legion of Honour], record label[RCA Victor], date of birth[1933-01-29T00:00:00Z], name[Queen Latifah], genre[jazz])",Sacha Distel genre jazz. Queen Latifah genre jazz. Sacha Distel award received Knight of the Legion of Honour. Sacha Distel record label RCA Victor. Ce serait dommage performer Sacha Distel. Sacha Distel date of birth 1933-01-29T00:00:00Z.,Sacha Distel jazz Queen Latifah Knight of the Legion of Honour RCA Victor Ce serait dommage 1933-01-29T00:00:00Z,"
Sacha Distel is a jazz artist who was born in 1933 and got the Knight of the Legion of Honour award. He was signed with RCA Victor and one of his songs is Ce serait dommage.",inform,musicians,1,6
"inform(name[Kendrick Lamar], genre[conscious hip hop], genre[G-funk], genre[jazz rap], record label[Top Dawg Entertainment], name[Prezident], genre[conscious hip hop])",Kendrick Lamar genre conscious hip hop. Prezident genre conscious hip hop. Kendrick Lamar genre G-funk. Kendrick Lamar genre jazz rap. Kendrick Lamar record label Top Dawg Entertainment.,Kendrick Lamar conscious hip hop Prezident G-funk jazz rap Top Dawg Entertainment,"
Kendrick Lamar is a conscious hip hop, G-funk, and jazz rap artist signed to Top Dawg Entertainment.",inform,musicians,1,5
"inform(name[Aaron Carter], genre[hip hop music], country of citizenship[United States of America], name[Nelly Furtado], genre[hip hop music])",Aaron Carter genre hip hop music. Nelly Furtado genre hip hop music. Aaron Carter country of citizenship United States of America. Aaron Carter performer Aaron Carter.,Aaron Carter hip hop music Nelly Furtado United States of America Aaron Carter,"
Aaron Carter is an American hip hop music artist, known for his work on Aaron Carter.",inform,musicians,1,4
"inform(name[Lady Gaga], award received[Academy Award for Best Original Song], award received[MTV Video Music Award for Best Art Direction], award received[MTV Video Music Award for Best New Artist], award received[MTV Video Music Award for Best Art Direction], name[Rahman], award received[Academy Award for Best Original Song])",Lady Gaga award received Academy Award for Best Original Song. A. R. Rahman award received Academy Award for Best Original Song. Lady Gaga award received MTV Video Music Award for Best Art Direction. Lady Gaga award received MTV Video Music Award for Best New Artist. Lady Gaga award received MTV Video Music Award for Best Art Direction.,Lady Gaga Academy Award for Best Original Song A. R. Rahman MTV Video Music Award for Best Art Direction MTV Video Music Award for Best New Artist MTV Video Music Award for Best Art Direction," Lady Gaga and A. R. Rahman both received the Academy Award for Best Original Song. Lady Gaga also won three MTV Video Music Awards for Best Art Direction, Best New Artist, and Best Art Direction.",inform,musicians,1,5
