mr_new,pseudo_mr,text,da,entity,num_hops,num_triples
"painters name Anthony van Dyck. Anthony van Dyck  genres animal painting, portrait. Anthony van Dyck  movements Baroque painting.","Anthony Van Dyck Animal Painting, Portrait Baroque Painting","Just to clarify, are you referring to an animal portrait painting by Anthony van Dyck from the Baroque painting movement?",confirm,painters,1,3
painters name Kazimir Malevich. Kazimir Malevich  life period century XIX - XX. Kazimir Malevich  nationality Russian.,Kazimir Malevich Xix - Xx Russian,"Just to confirm, when you mentioned Kazimir Malevich, are you referring to the Russian artist from the XIX-XX century?",confirm,painters,1,3
painters name Giuseppe Arcimboldo. Giuseppe Arcimboldo  movements mannerism. Giuseppe Arcimboldo  nationality Italian.,Giuseppe Arcimboldo Mannerism Italian,"Were you referring to the Italian artist known for his mannerism style, Giuseppe Arcimboldo?",confirm,painters,1,3
"painters name John Constable. John Constable  occupations landscape painter, painter. John Constable  nationality British.","John Constable Landscape Painter, Painter British","To clarify, are you referring to the British landscape painter and painter John Constable?",confirm,painters,1,3
painters name Joshua Reynolds. Joshua Reynolds  movements neoclassicism.,Joshua Reynolds Neoclassicism,"Just to clarify, are you referring to a painting by Joshua Reynolds from the neoclassicism movement?",confirm,painters,1,2
"painters name Willem de Kooning. Willem de Kooning  notable works Woman III, Woman I.","Willem De Kooning Woman Iii, Woman I","Just to confirm, are you referring to Willem de Kooning's painting Woman III or Woman I?",confirm,painters,1,2
"painters name Otto Dix. Otto Dix  genres portrait painting, figure. Otto Dix  movements Expressionism, New Objectivity.","Otto Dix Portrait Painting, Figure Expressionism, New Objectivity","Just to clarify, when you mentioned Otto Dix, are you referring to the portrait painting and figure art by Otto Dix associated with Expressionism and New Objectivity movements?",confirm,painters,1,3
"painters name John Constable. John Constable  genres religious art, genre art.","John Constable Religious Art, Genre Art","Just to confirm, are you referring to a specific painting by John Constable in the genres of religious art and genre art?",confirm,painters,1,2
"painters name Hieronymus Bosch. Hieronymus Bosch  life period century XV - XVI. Hieronymus Bosch  occupations visual artist, painter.","Hieronymus Bosch Xv - Xvi Visual Artist, Painter","Just to clarify, are you referring to the visual artist and painter Hieronymus Bosch from the 15th to 16th centuries?",confirm,painters,1,3
"painters name Kazimir Malevich. Kazimir Malevich  genres still life, scenography. Kazimir Malevich  occupations printmaker, sculptor.","Kazimir Malevich Still Life, Scenography Printmaker, Sculptor","When you mentioned Kazimir Malevich, were you referring to his still life or scenography painting, or perhaps to his work as a printmaker or sculptor?",confirm,painters,1,3
painters name Mary Cassatt. Mary Cassatt  notable works Portrait of an Elderly Lady in a Bonnet: Red Background. Mary Cassatt  movements Impressionism.,Mary Cassatt Portrait Of An Elderly Lady In A Bonnet: Red Background Impressionism,Is the painting you're mentioning of Mary Cassatt's the Portrait of an Elderly Lady in a Bonnet: Red Background from the Impressionism movement?,confirm,painters,1,3
"painters name Jean-Léon Gérôme. Jean-Léon Gérôme  movements academic art, Neo-Grec. Jean-Léon Gérôme  nationality French.","Jean-Léon Gérôme Academic Art, Neo-Grec French","Just to clarify, are you referring to a painting by Jean-Léon Gérôme from the academic art and Neo-Grec movements, who was French?",confirm,painters,1,3
"painters name John Constable. John Constable  movements Romanticism, realism. John Constable  life period century XVIII - XIX.","John Constable Romanticism, Realism Xviii - Xix","When you mentioned John Constable, were you referring to the Romanticism and realism movement painter from the late 18th to the 19th century?",confirm,painters,1,3
"painters name Francis Bacon. Francis Bacon  occupations painter, designer. Francis Bacon  notable works Three Studies for Figures at the Base of a Crucifixion, Head IV.","Francis Bacon Painter, Designer Three Studies For Figures At The Base Of A Crucifixion, Head Iv","Just to confirm, are you referring to the painter and designer Francis Bacon, known for works like Three Studies for Figures at the Base of a Crucifixion and Head IV?",confirm,painters,1,3
"painters name Paul Gauguin. Paul Gauguin  notable works Tahitian Women on the Beach, Where Do We Come From? What Are We? Where Are We Going?. Paul Gauguin  movements Pont-Aven School, Symbolism.","Paul Gauguin Tahitian Women On The Beach, Where Do We Come From? What Are We? Where Are We Going? Pont-Aven School, Symbolism","Just to confirm, when you mentioned Paul Gauguin, were you referring to his notable works Tahitian Women on the Beach and Where Do We Come From? What Are We? Where Are We Going? within the movements of Pont-Aven School and Symbolism?",confirm,painters,1,3
"painters name Giuseppe Arcimboldo. Giuseppe Arcimboldo  genres religious art, animal painting.","Giuseppe Arcimboldo Religious Art, Animal Painting","To clarify, are you referring to a religious art or animal painting by Giuseppe Arcimboldo?",confirm,painters,1,2
"painters name Raphael. Raphael  genres allegory, religious art.","Raphael Allegory, Religious Art","Just to clarify, when you mentioned Raphael, were you talking about an allegorical religious art painting by Raphael?",confirm,painters,1,2
"painters name Fernando Botero. Fernando Botero  occupations illustrator, drawer. Fernando Botero  genres figurative art, portrait.","Fernando Botero Illustrator, Drawer Figurative Art, Portrait","Just to clarify, are you referring to the figurative art and portrait works by Fernando Botero as an illustrator and drawer?",confirm,painters,1,3
painters name Mark Rothko. Mark Rothko  movements abstract expressionism.,Mark Rothko Abstract Expressionism,"Just to clarify, are you referring to a painting by Mark Rothko in the abstract expressionism movement?",confirm,painters,1,2
"painters name Johannes Vermeer. Johannes Vermeer  life period century XVII. Johannes Vermeer  notable works View of Delft, The Astronomer.","Johannes Vermeer Xvii View Of Delft, The Astronomer","Just to clarify, are you referring to the XVII century painter Johannes Vermeer's View of Delft or The Astronomer?",confirm,painters,1,3
painters name Anthony van Dyck. Anthony van Dyck  movements Baroque painting. Anthony van Dyck  nationality Flemish.,Anthony Van Dyck Baroque Painting Flemish,"Just to clarify, are you referring to a Baroque painting by Flemish artist Anthony van Dyck?",confirm,painters,1,3
"painters name Henri Matisse. Henri Matisse  genres still life, decoupage. Henri Matisse  occupations printmaker, drawer.","Henri Matisse Still Life, Decoupage Printmaker, Drawer","Just to clarify, are you referring to a still life or decoupage work by Henri Matisse, who is also known as a printmaker and drawer?",confirm,painters,1,3
"painters name Rembrandt. Rembrandt  notable works The Night Watch, The Jewish Bride. Rembrandt  occupations painter, etcher.","Rembrandt The Night Watch, The Jewish Bride Painter, Etcher","Just to clarify, when you mentioned Rembrandt, were you referring to the painter and etcher known for works like The Night Watch and The Jewish Bride?",confirm,painters,1,3
"painters name Kazimir Malevich. Kazimir Malevich  movements suprematism, constructivism. Kazimir Malevich  life period century XIX - XX.","Kazimir Malevich Suprematism, Constructivism Xix - Xx","Just to clarify, are you referring to a painting by Kazimir Malevich from the XIX - XX century that is associated with suprematism and constructivism movements?",confirm,painters,1,3
"painters name Mark Rothko. Mark Rothko  occupations drawer, university teacher. Mark Rothko  genres Abstract art.","Mark Rothko Drawer, University Teacher Abstract Art","Just to confirm, are you referring to Mark Rothko's abstract art paintings as the one created by the drawer and university teacher?",confirm,painters,1,3
"painters name Rembrandt. Rembrandt  occupations art collector, printmaker.","Rembrandt Art Collector, Printmaker","Just to confirm, when you mentioned Rembrandt, are you referring to the art collector and printmaker?",confirm,painters,1,2
"painters name Leonardo da Vinci. Leonardo da Vinci  notable works The Virgin and Child with Saint Anne, Head of a Woman. Leonardo da Vinci  life period century XV - XVI.","Leonardo Da Vinci The Virgin And Child With Saint Anne, Head Of A Woman Xv - Xvi","Just to confirm, when you mentioned Leonardo da Vinci, were you referring to The Virgin and Child with Saint Anne and Head of a Woman, from the 15th to 16th century?",confirm,painters,1,3
"painters name Raphael. Raphael  genres allegory, portrait painting. Raphael  occupations sculptor, fresco painter.","Raphael Allegory, Portrait Painting Sculptor, Fresco Painter","Just to clarify, are you referring to the allegory and portrait paintings by Raphael who was known as a sculptor and fresco painter?",confirm,painters,1,3
"painters name Raphael. Raphael  notable works Madonna del Prato, The Marriage of the Virgin.","Raphael Madonna Del Prato, The Marriage Of The Virgin","Are you referring to one of Raphael's notable works, the Madonna del Prato or The Marriage of the Virgin?",confirm,painters,1,2
"painters name Anthony van Dyck. Anthony van Dyck  genres portrait, allegory.","Anthony Van Dyck Portrait, Allegory",Is the painting you mentioned by Anthony van Dyck a portrait or an allegory?,confirm,painters,1,2
"painters name Ivan Aivazovsky. Ivan Aivazovsky  movements Romanticism. Ivan Aivazovsky  notable works The Ninth Wave, Brig “Mercury” Attacked by Two Turkish Ships.","Ivan Aivazovsky Romanticism The Ninth Wave, Brig “Mercury” Attacked By Two Turkish Ships","Just to clarify, are you referring to Ivan Aivazovsky's Romanticism paintings like The Ninth Wave or Brig “Mercury” Attacked by Two Turkish Ships?",confirm,painters,1,3
"painters name Tamara de Lempicka. Tamara de Lempicka  genres still life, nude. Tamara de Lempicka  notable works La belle Rafaëla, Autoportrait.","Tamara De Lempicka Still Life, Nude La Belle Rafaëla, Autoportrait","To clarify, are you referring to Tamara de Lempicka's painting La belle Rafaëla or Autoportrait?",confirm,painters,1,3
"painters name Caravaggio. Caravaggio  notable works Self-Portrait as Bacchus, Medusa.","Caravaggio Self-Portrait As Bacchus, Medusa","To clarify, are you mentioning Caravaggio's Self-Portrait as Bacchus or Medusa?",confirm,painters,1,2
"painters name Johannes Vermeer. Johannes Vermeer  occupations painter, art collector.","Johannes Vermeer Painter, Art Collector","Just to clarify, are you referring to Johannes Vermeer the painter and art collector, or one of his specific paintings?",confirm,painters,1,2
painters name Leonardo da Vinci. Leonardo da Vinci  nationality Italian.,Leonardo Da Vinci Italian,"Just to confirm, are you referring to the Italian artist Leonardo da Vinci?",confirm,painters,1,2
"painters name Fernando Botero. Fernando Botero  genres figurative art, allegory. Fernando Botero  notable works The death of Luis Chalmeta.","Fernando Botero Figurative Art, Allegory The Death Of Luis Chalmeta","Are you referring to Fernando Botero's figurative art piece, The Death of Luis Chalmeta, known for its allegorical elements?",confirm,painters,1,3
"painters name Raphael. Raphael  movements Italian Renaissance, High Renaissance. Raphael  occupations architectural draftsperson, architect.","Raphael Italian Renaissance, High Renaissance Architectural Draftsperson, Architect","Just to confirm, are you referring to the Italian Renaissance and High Renaissance movements associated with Raphael, who was also known for being an architectural draftsperson and architect?",confirm,painters,1,3
"painters name Henri Rousseau. Henri Rousseau  occupations painter, printmaker. Henri Rousseau  genres landscape art, still life.","Henri Rousseau Painter, Printmaker Landscape Art, Still Life","Just to clarify, are you referring to Henri Rousseau's landscape art or still life paintings as a painter and printmaker?",confirm,painters,1,3
"painters name Wassily Kandinsky. Wassily Kandinsky  genres art of painting, graphics.","Wassily Kandinsky Art Of Painting, Graphics","Just to confirm, are you referring to Wassily Kandinsky's art of painting and graphics?",confirm,painters,1,2
painters name Han van Meegeren. Han van Meegeren  nationality Dutch. Han van Meegeren  genres landscape art.,Han Van Meegeren Dutch Landscape Art,"Just to confirm, are you talking about the Dutch landscape art by Han van Meegeren?",confirm,painters,1,3
"painters name Giorgio de Chirico. Giorgio de Chirico  movements metaphysical painting. Giorgio de Chirico  notable works Mystery and Melancholy of a Street, The Uncertainty of the Poet.","Giorgio De Chirico Metaphysical Painting Mystery And Melancholy Of A Street, The Uncertainty Of The Poet","Just to clarify, are you specifically referring to Giorgio de Chirico's metaphysical paintings, such as Mystery and Melancholy of a Street and The Uncertainty of the Poet?",confirm,painters,1,3
"painters name Henri Matisse. Henri Matisse  nationality French. Henri Matisse  movements neo-impressionism, fauvism.","Henri Matisse French Neo-Impressionism, Fauvism","Just to confirm, are you referring to the French artist Henri Matisse known for his works in neo-impressionism and fauvism?",confirm,painters,1,3
"painters name Ivan Aivazovsky. Ivan Aivazovsky  genres portrait, mythological painting.","Ivan Aivazovsky Portrait, Mythological Painting",Were you referring to a specific portrait or mythological painting by Ivan Aivazovsky?,confirm,painters,1,2
"painters name Wassily Kandinsky. Wassily Kandinsky  life period century XIX - XX. Wassily Kandinsky  occupations designer, graphic artist.","Wassily Kandinsky Xix - Xx Designer, Graphic Artist","Just to clarify, are you referring to the artist Wassily Kandinsky from the XIX-XX century who worked as a designer and graphic artist?",confirm,painters,1,3
"painters name Tamara de Lempicka. Tamara de Lempicka  occupations painter, artist.","Tamara De Lempicka Painter, Artist","Just to clarify, are you referring to the painter and artist Tamara de Lempicka?",confirm,painters,1,2
"painters name Henri Rousseau. Henri Rousseau  notable works Carnival Evening, The Wedding Party. Henri Rousseau  movements naïve art, primitivism.","Henri Rousseau Carnival Evening, The Wedding Party Naïve Art, Primitivism","Just to clarify, when you mentioned Henri Rousseau, were you referring to his naïve art and primitivism painting Carnival Evening or The Wedding Party?",confirm,painters,1,3
painters name Mark Rothko. Mark Rothko  genres Abstract art.,Mark Rothko Abstract Art,"Just to confirm, are you referring to a specific painting by Mark Rothko in the Abstract art genre?",confirm,painters,1,2
