mr,mr_new,pseudo_mr,text,da,entity,num_hops,num_triples
"inform(name[Afrikan tähti], genre[roll-and-move], minimum number of players[2], alternate names[African Star, Diamond Hunt], publication year[1951], maximum number of players[6], instance of[Board game], complexity rating[simple])","Afrikan tähti genre roll-and-move. Afrikan tähti minimum number of players 2. Afrikan tähti alternate names African Star, Diamond Hunt. Afrikan tähti publication year 1951. Afrikan tähti maximum number of players 6. Afrikan tähti instance of board game. Afrikan tähti complexity rating simple. Afrikan tähti domain board game.","Afrikan Tähti Roll-And-Move 2 African Star, Diamond Hunt 1951 6 Board Game Simple"," Afrikan tähti, also known as African Star or Diamond Hunt, is a 1951 roll-and-move board game for 2 to 6 players with a simple complexity rating.",inform,boardgames,1,8
"verify_attribute(name[Monopoly], average rating[poor], game mechanics[resource management], genre[roll-and-move])",Monopoly average rating poor. Monopoly game mechanics resource management. Monopoly genre roll-and-move. Monopoly domain board game.,Monopoly Poor Resource Management Roll-And-Move,You didn't like Monopoly. Do you usually find roll-and-move games with resource management mechanics boring?,verify_attribute,boardgames,1,4
"inform(name[Carcassonne], genre[German-style Board game], average rating[good], complexity rating[moderate], publication year[2000], alternate names[Carcassonne Jubilee Edition], country of origin[Germany])",Carcassonne genre German-style board game. Carcassonne average rating good. Carcassonne maximum playing time 45. Carcassonne complexity rating moderate. Carcassonne publication year 2000. Carcassonne alternate names Carcassonne Jubilee Edition. Carcassonne country of origin Germany. Carcassonne domain board game.,Carcassonne German-Style Board Game Good 45 Moderate 2000 Carcassonne Jubilee Edition Germany," Carcassonne Jubilee Edition, also known as Carcassonne, is a moderate German-style board game from 2000 with a good rating. It can be played in up to 45 minutes.",inform,boardgames,1,8
"inform(name[Betrayal at House on the Hill], genre[cooperative Board game], publisher[Hasbro], minimum number of players[3], developer[Bruce Glassco], publication year[2004], complexity rating[complex])",Betrayal at House on the Hill genre cooperative board game. Betrayal at House on the Hill minimum playing time 60. Betrayal at House on the Hill publisher Hasbro. Betrayal at House on the Hill minimum number of players 3. Betrayal at House on the Hill developer Bruce Glassco. Betrayal at House on the Hill publication year 2004. Betrayal at House on the Hill complexity rating complex. Betrayal at House on the Hill domain board game.,Betrayal At House On The Hill Cooperative Board Game 60 Hasbro 3 Bruce Glassco 2004 Complex,Betrayal at House on the Hill is a complex cooperative board game developed by Bruce Glassco for Hasbro in 2004. It requires at least 3 players and a minimum playing time of 60 minutes.,inform,boardgames,1,8
"suggest(name[Twilight Struggle], publisher[GMT Games])",Twilight Struggle publisher GMT Games. Twilight Struggle domain board game.,Twilight Struggle Gmt Games," Have you ever played a board game published by GMT Games, like Twilight Struggle?",suggest,boardgames,1,2
suggest(name[Betrayal at House on the Hill]),Betrayal at House on the Hill domain board game.,Betrayal At House On The Hill,Have you ever played a board game like Betrayal at House on the Hill?,suggest,boardgames,1,1
"inform(name[Punaisten ja valkoisten taistelu Suomessa 1918], genre[wargame], average rating[poor], publication year[1918], minimum number of players[2], maximum number of players[2], instance of[Board game])",Punaisten ja valkoisten taistelu Suomessa 1918 genre wargame. Punaisten ja valkoisten taistelu Suomessa 1918 average rating poor. Punaisten ja valkoisten taistelu Suomessa 1918 publication year 1918. Punaisten ja valkoisten taistelu Suomessa 1918 minimum number of players 2. Punaisten ja valkoisten taistelu Suomessa 1918 maximum number of players 2. Punaisten ja valkoisten taistelu Suomessa 1918 instance of board game. Punaisten ja valkoisten taistelu Suomessa 1918 domain board game.,Punaisten Ja Valkoisten Taistelu Suomessa 1918 Wargame Poor 1918 2 2 Board Game,Punaisten ja valkoisten taistelu Suomessa 1918 is a 1918 wargame board game for 2 players with a poor rating.,inform,boardgames,1,7
"inform(name[Dune], genre[science fiction], minimum number of players[2], publisher[Avalon Hill], alternate names[Frank Herberts Dune], instance of[Board game])",Dune genre science fiction. Dune minimum number of players 2. Dune publisher Avalon Hill. Dune alternate names Frank Herberts Dune. Dune minimum playing time 60. Dune instance of board game. Dune domain board game.,Dune Science Fiction 2 Avalon Hill Frank Herbert'S Dune 60 Board Game," Frank Herberts Dune, also known as Dune, is a science fiction board game published by Avalon Hill. It requires a minimum of 2 players and 60 minutes.",inform,boardgames,1,7
"recommend(name[Scotland Yard], alternate names[Fanton], instance of[Board game])",Scotland Yard alternate names Fanton. Scotland Yard instance of board game. Scotland Yard domain board game.,Scotland Yard Fanton Board Game," Have you ever heard of Scotland Yard, or its alternate name Fanton? It's a board game.",recommend,boardgames,1,3
"verify_attribute(name[Scotland Yard], average rating[average], genre[deduction game])",Scotland Yard average rating average. Scotland Yard genre deduction game. Scotland Yard domain board game.,Scotland Yard Average Deduction Game,You found Scotland Yard to be just average. Is this the same for other deduction board games?,verify_attribute,boardgames,1,3
