mr,mr_new,pseudo_mr,text,da,entity,num_hops,num_triples
"inform(name[Lana Parrilla], spouse[Nadie], height[average], date of birth[1977], place of birth[Brooklyn], rating[lower rated], gender[female])",Lana Parrilla spouse Nadie. Lana Parrilla height average. Lana Parrilla date of birth 1977. Lana Parrilla place of birth Brooklyn. Lana Parrilla rating lower rated. Lana Parrilla gender female. Lana Parrilla domain tv actor.,Lana Parrilla Nadie Average 1977 Brooklyn Lower Rated Female, Lana Parrilla is a lower rated female tv actor born in 1977 in Brooklyn. She is of average height and married to Nadie.,inform,tv actors,1,7
"inform(name[Norman Reedus], gender[male], place of birth[Hollywood], rating[lower rated], height[average])",Norman Reedus gender male. Norman Reedus place of birth Hollywood. Norman Reedus rating lower rated. Norman Reedus height average. Norman Reedus domain tv actor.,Norman Reedus Male Hollywood Lower Rated Average, Norman Reedus is a lower rated male tv actor from Hollywood of average height.,inform,tv actors,1,5
"inform(name[Jeffrey Dean Morgan], cast member[of The Walking Dead], awards received[MTV Movie Award for Best Villain], spouse[Hilarie Burton], gender[male], date of birth[1966], place of birth[Seattle])",Jeffrey Dean Morgan cast member of The Walking Dead. Jeffrey Dean Morgan awards received MTV Movie Award for Best Villain. Jeffrey Dean Morgan spouse Hilarie Burton. Jeffrey Dean Morgan gender male. Jeffrey Dean Morgan date of birth 1966. Jeffrey Dean Morgan place of birth Seattle. Jeffrey Dean Morgan domain tv actor.,Jeffrey Dean Morgan 'The Walking Dead' 'Mtv Movie Award For Best Villain' Hilarie Burton Male 1966 Seattle, Jeffrey Dean Morgan is a male tv actor born in 1966 in Seattle and cast member of The Walking Dead. He won the MTV Movie Award for Best Villain and is married to Hilarie Burton.,inform,tv actors,1,7
"inform(name[Milo Ventimiglia], place of birth[Anaheim], height[average], gender[male], date of birth[1977])",Milo Ventimiglia place of birth Anaheim. Milo Ventimiglia height average. Milo Ventimiglia gender male. Milo Ventimiglia date of birth 1977. Milo Ventimiglia domain tv actor.,Milo Ventimiglia Anaheim Average Male 1977, Milo Ventimiglia is an average height male tv actor born in 1977 in Anaheim.,inform,tv actors,1,5
"inform(name[Chris Pratt], date of birth[1979], height[taller], cast member[of Onward])",Chris Pratt date of birth 1979. Chris Pratt height taller. Chris Pratt cast member of Onward. Chris Pratt domain tv actor.,Chris Pratt 1979 Taller 'Onward', Chris Pratt is a taller tv actor born in 1979 and cast as a member of Onward.,inform,tv actors,1,4
"inform(name[Peter Dinklage], spouse[Erica Schmidt])",Peter Dinklage spouse Erica Schmidt. Peter Dinklage domain tv actor.,Peter Dinklage Erica Schmidt, Peter Dinklage is a tv actor who is married to Erica Schmidt.,inform,tv actors,1,2
"inform(name[Ted Danson], rating[top rated], height[taller], awards received[Primetime Emmy Award for Outstanding Lead Actor in a Comedy Series], gender[male], spouse[Mary Steenburgen], date of birth[1947])",Ted Danson rating top rated. Ted Danson height taller. Ted Danson awards received Primetime Emmy Award for Outstanding Lead Actor in a Comedy Series. Ted Danson gender male. Ted Danson spouse Mary Steenburgen. Ted Danson date of birth 1947. Ted Danson domain tv actor.,Ted Danson Top Rated Taller 'Primetime Emmy Award For Outstanding Lead Actor In A Comedy Series' Male Mary Steenburgen 1947," Ted Danson is a top rated taller male tv actor, born in 1947. He won the Primetime Emmy Award for Outstanding Lead Actor in a Comedy Series and is married to Mary Steenburgen.",inform,tv actors,1,7
"inform(name[Emilia Clarke], gender[female], date of birth[1986], height[average], rating[top rated], awards received[Poppy Awards], place of birth[London])",Emilia Clarke gender female. Emilia Clarke date of birth 1986. Emilia Clarke height average. Emilia Clarke rating top rated. Emilia Clarke awards received Poppy Awards. Emilia Clarke place of birth London. Emilia Clarke domain tv actor.,Emilia Clarke Female 1986 Average Top Rated 'Poppy Awards' London, Emilia Clarke is a top rated female tv actor born in London in 1986 of average height. She has received the Poppy Awards.,inform,tv actors,1,7
"inform(name[Lena Headey], spouse[Peter Loughran], height[average], date of birth[1973], gender[female], place of birth[Hamilton])",Lena Headey spouse Peter Loughran. Lena Headey height average. Lena Headey date of birth 1973. Lena Headey gender female. Lena Headey place of birth Hamilton. Lena Headey domain tv actor.,Lena Headey Peter Loughran Average 1973 Female Hamilton, Lena Headey is a female tv actor born in 1973 in Hamilton with an average height. She is married to Peter Loughran.,inform,tv actors,1,6
"inform(name[Emilia Clarke], rating[top rated], awards received[Poppy Awards], place of birth[London], gender[female], height[average])",Emilia Clarke rating top rated. Emilia Clarke awards received Poppy Awards. Emilia Clarke place of birth London. Emilia Clarke gender female. Emilia Clarke height average. Emilia Clarke domain tv actor.,Emilia Clarke Top Rated 'Poppy Awards' London Female Average, Emilia Clarke is a top rated female tv actor from London of average height. She has won the Poppy Awards.,inform,tv actors,1,6
