mr,mr_new,pseudo_mr,text,da,entity,num_hops,num_triples
"inform(name[Bobby Davison], member of sports team[Leeds United F.C.], member of sports team[Derby County F.C.], member of sports team[Huddersfield Town A.F.C], name[Chris Wood], member of sports team[Leeds United F.C.], name[Tony Yeboah], member of sports team[Leeds United F.C.], name[Leeds United F.C.], league[EFL Championship], name[EFL Championship], sport[association football])",Bobby Davison member of sports team Leeds United F.C.. Bobby Davison member of sports team Derby County F.C.. Chris Wood member of sports team Leeds United F.C.. Tony Yeboah member of sports team Leeds United F.C.. Leeds United F.C. league EFL Championship. EFL Championship sport association football. Bobby Davison member of sports team Huddersfield Town A.F.C..,Leeds United F.C. Bobby Davison Derby County F.C. Chris Wood Tony Yeboah EFL Championship association football Huddersfield Town A.F.C.,"
Bobby Davison is a member of the association football teams Leeds United F.C., Derby County F.C., and Huddersfield Town A.F.C., all of which compete in the EFL Championship. Other members of Leeds United F.C. include Chris Wood and Tony Yeboah.",inform,teams,1,7
"inform(name[Eldin Karišik], member of sports team[Viborg FF], member of sports team[IFK Göteborg], member of sports team[Sweden national under-19 football team], member of sports team[Sweden national under-19 football team], name[Mohamed Sissoko], member of sports team[Viborg FF], name[Anders Kaagh], member of sports team[Viborg FF])",Eldin Karišik member of sports team Viborg FF. Eldin Karišik member of sports team IFK Göteborg. Mohamed Sissoko member of sports team Viborg FF. Anders Kaagh member of sports team Viborg FF. Eldin Karišik member of sports team Sweden national under-19 football team. Eldin Karišik member of sports team Sweden national under-19 football team.,Viborg FF Eldin Karišik IFK Göteborg Mohamed Sissoko Anders Kaagh Sweden national under-19 football team Sweden national under-19 football team," Eldin Karišik is a member of Viborg FF, IFK Göteborg, Sweden national under-19 football team; Mohamed Sissoko and Anders Kaagh are members of Viborg FF; and Eldin Karišik is also a member of Sweden national under-19 football team.",inform,teams,1,6
"inform(name[Wrexham A.F.C.], head coach[Dean Keates], name[Dean Keates], member of sports team[Kidderminster Harriers F.C])",Wrexham A.F.C. head coach Dean Keates. Dean Keates member of sports team Kidderminster Harriers F.C..,Wrexham A.F.C. Dean Keates Kidderminster Harriers F.C.," Wrexham A.F.C. is coached by Dean Keates, a member of Kidderminster Harriers F.C.",inform,teams,1,2
"inform(name[Maryland Terrapins football], sport[American football], name[Frankford Yellow Jackets], sport[American football], name[Chris Turner], member of sports team[Maryland Terrapins football], name[Frank Navarro], member of sports team[Maryland Terrapins football], member of sports team[Maryland Terrapins football], name[Dallas Texans], sport[American football], name[Sacramento Mountain Lions], sport[American football])",Maryland Terrapins football sport American football. Frankford Yellow Jackets sport American football. Chris Turner member of sports team Maryland Terrapins football. Frank Navarro member of sports team Maryland Terrapins football. Frank Navarro member of sports team Maryland Terrapins football. Dallas Texans sport American football. Sacramento Mountain Lions sport American football.,Maryland Terrapins football American football Frankford Yellow Jackets Chris Turner Frank Navarro Frank Navarro Dallas Texans Sacramento Mountain Lions," Maryland Terrapins football and Frankford Yellow Jackets are American football teams, with Chris Turner and Frank Navarro as members. Dallas Texans and Sacramento Mountain Lions are also American football teams.",inform,teams,1,7
"inform(name[Golden State Warriors], head coach[Steve Kerr], league[National Basketball Association], name[Steve Kerr], member of sports team[San Antonio Spurs], member of sports team[Arizona Wildcats men's basketball], name[Mark Price], member of sports team[Golden State Warriors], name[Jeff Mullins], member of sports team[Golden State Warriors], name[National Basketball Association], sport[basketball])",Golden State Warriors head coach Steve Kerr. Steve Kerr member of sports team San Antonio Spurs. Mark Price member of sports team Golden State Warriors. Jeff Mullins member of sports team Golden State Warriors. Golden State Warriors league National Basketball Association. National Basketball Association sport basketball. Steve Kerr member of sports team Arizona Wildcats men's basketball.,Golden State Warriors Steve Kerr San Antonio Spurs Mark Price Jeff Mullins National Basketball Association basketball Arizona Wildcats men's basketball,"
Steve Kerr is the head coach of the Golden State Warriors, a basketball team in the National Basketball Association. He was previously a member of the San Antonio Spurs and the Arizona Wildcats men's basketball team. Mark Price and Jeff Mullins are members of the Golden State Warriors.",inform,teams,1,7
"verify_attribute(name[Boston Celtics], rating[good], name[Darren Daye], member of sports team[Boston Celtics])",Boston Celtics rating good. Darren Daye member of sports team Boston Celtics.,good Boston Celtics Darren Daye,You seem to like Boston Celtics. Is it the same when Darren Daye is playing for other teams?,verify_attribute,teams,1,2
"inform(name[West Ham United F.C.], home venue[London Stadium], head coach[David Moyes], name[London Stadium], sport[association football], name[Mauro Sorete], member of sports team[West Ham United F.C.], name[David Moyes], member of sports team[Preston North End F.C])",West Ham United F.C. home venue London Stadium. London Stadium sport association football. Mauro Sorete member of sports team West Ham United F.C.. West Ham United F.C. head coach David Moyes. David Moyes member of sports team Preston North End F.C..,West Ham United F.C. London Stadium association football Mauro Sorete David Moyes Preston North End F.C.,"
West Ham United F.C. is an association football team based in London Stadium and coached by David Moyes. It has Mauro Sorete as a member and David Moyes previously played for Preston North End F.C.",inform,teams,1,5
"request_explanation(name[Mauricio Pochettino], rating[excellent], member of sports team[Argentina national association football team])",Mauricio Pochettino rating excellent. Mauricio Pochettino member of sports team Argentina national association football team.,excellent Mauricio Pochettino Argentina national association football team,What do you think makes Mauricio Pochettino's performance with the Argentina national association football team so excellent?,request_explanation,teams,1,2
"suggest(name[Rio Ave F.C.], league[Liga Portugal], name[Braga], league[Liga Portugal])",Rio Ave F.C. league Liga Portugal. S.C. Braga league Liga Portugal.,Rio Ave F.C. Liga Portugal S.C. Braga," Are you familiar with the Liga Portugal teams, like Rio Ave F.C. and S.C. Braga?",suggest,teams,1,2
"inform(name[Dante Bonfim Costa Santos], member of sports team[R], member of sports team[Standard Liège], name[Geoffrey Mujangi Bia], member of sports team[R], name[Romain Élie], member of sports team[R], name[Chris Makiese], member of sports team[R])",Dante Bonfim Costa Santos member of sports team R. Charleroi S.C.. Dante Bonfim Costa Santos member of sports team Standard Liège. Geoffrey Mujangi Bia member of sports team R. Charleroi S.C.. Romain Élie member of sports team R. Charleroi S.C.. Chris Makiese member of sports team R. Charleroi S.C..,R. Charleroi S.C. Dante Bonfim Costa Santos Standard Liège Geoffrey Mujangi Bia Romain Élie Chris Makiese," Dante Bonfim Costa Santos, Geoffrey Mujangi Bia, Romain Élie, and Chris Makiese are members of the sports teams R. Charleroi S.C. and Standard Liège.",inform,teams,1,5
"inform(name[Golden State Warriors], league[National Basketball Association], head coach[Steve Kerr], name[National Basketball Association], sport[basketball], name[Jeff Mullins], member of sports team[Golden State Warriors], name[John Starks], member of sports team[Golden State Warriors], name[Ronny Turiaf], member of sports team[Golden State Warriors], name[Steve Kerr], member of sports team[Portland Trail Blazers])",Golden State Warriors league National Basketball Association. National Basketball Association sport basketball. Jeff Mullins member of sports team Golden State Warriors. John Starks member of sports team Golden State Warriors. Ronny Turiaf member of sports team Golden State Warriors. Golden State Warriors head coach Steve Kerr. Steve Kerr member of sports team Portland Trail Blazers.,Golden State Warriors National Basketball Association basketball Jeff Mullins John Starks Ronny Turiaf Steve Kerr Portland Trail Blazers,"
Golden State Warriors is a basketball team from the National Basketball Association, coached by Steve Kerr who was a member of the Portland Trail Blazers. Its players include Jeff Mullins, John Starks, and Ronny Turiaf.",inform,teams,1,7
"inform(name[Landon Donovan], member of sports team[FC Bayern Munich], member of sports team[LA Galaxy], member of sports team[Club León], name[FC Bayern Munich], sport[association football], name[Hans Nowak], member of sports team[FC Bayern Munich], member of sports team[FC Bayern Munich])",Landon Donovan member of sports team FC Bayern Munich. Landon Donovan member of sports team LA Galaxy. FC Bayern Munich sport association football. Hans Nowak member of sports team FC Bayern Munich. Hans Nowak member of sports team FC Bayern Munich. Landon Donovan member of sports team Club León.,FC Bayern Munich Landon Donovan LA Galaxy association football Hans Nowak Hans Nowak Club León," Landon Donovan is a member of the association football teams FC Bayern Munich, LA Galaxy and Club León, while Hans Nowak is a member of FC Bayern Munich.",inform,teams,1,6
"inform(name[Newcastle United F.C.], home venue[St James’ Park], head coach[Eddie Howe], name[St James’ Park], sport[association football], name[Sébastien Bassong], member of sports team[Newcastle United F.C.], name[Eddie Howe], member of sports team[England national under-21 association football team])",Newcastle United F.C. home venue St James’ Park. St James’ Park sport association football. Sébastien Bassong member of sports team Newcastle United F.C.. Newcastle United F.C. head coach Eddie Howe. Eddie Howe member of sports team England national under-21 association football team.,Newcastle United F.C. St James’ Park association football Sébastien Bassong Eddie Howe England national under-21 association football team,"

Newcastle United F.C. is an association football team coached by Eddie Howe and based at St James’ Park. Its members include Sébastien Bassong and Eddie Howe, who is also a member of the England national under-21 association football team.",inform,teams,1,5
"give_opinion(name[Roma], rating[good], name[Vincenzo Montella], member of sports team[A.S], member of sports team[Fulham F.C])",A.S. Roma rating good. Vincenzo Montella member of sports team A.S. Roma. Vincenzo Montella member of sports team Fulham F.C..,good A.S. Roma Vincenzo Montella Fulham F.C.,Vincenzo Montella is a great player who has done well with both A.S. Roma and Fulham F.C.,give_opinion,teams,1,3
"inform(name[Barcelona S.C.], head coach[Fabián Bustos], name[Fabián Bustos], member of sports team[Manta Fútbol Club])",Barcelona S.C. head coach Fabián Bustos. Fabián Bustos member of sports team Manta Fútbol Club.,Barcelona S.C. Fabián Bustos Manta Fútbol Club,Fabián Bustos is the head coach of Barcelona S.C. and a member of Manta Fútbol Club.,inform,teams,1,2
"suggest(name[Tokyo Yakult Swallows], league[Central League], name[Shingo Takatsu], league[Central League])",Tokyo Yakult Swallows league Central League. Shingo Takatsu league Central League.,Tokyo Yakult Swallows Central League Shingo Takatsu," Are you familiar with the Central League teams, like Tokyo Yakult Swallows coached by Shingo Takatsu?",suggest,teams,1,2
"inform(name[Baylor Bears football], sport[American football], name[Louis Cardinals], sport[American football], name[Mike Singletary], member of sports team[Baylor Bears football], name[Del Shofner], member of sports team[Baylor Bears football], name[Jonathan Evans], member of sports team[Baylor Bears football], name[Detroit Lions], sport[American football], name[Dallas Texans], sport[American football])",Baylor Bears football sport American football. St. Louis Cardinals sport American football. Mike Singletary member of sports team Baylor Bears football. Del Shofner member of sports team Baylor Bears football. Jonathan Evans member of sports team Baylor Bears football. Detroit Lions sport American football. Dallas Texans sport American football.,Baylor Bears football American football St. Louis Cardinals Mike Singletary Del Shofner Jonathan Evans Detroit Lions Dallas Texans," Baylor Bears football is a team of American football with players such as Mike Singletary, Del Shofner and Jonathan Evans. St. Louis Cardinals, Detroit Lions, and Dallas Texans are other American football teams.",inform,teams,1,7
"inform(name[Milan], head coach[Stefano Pioli], name[Stefano Pioli], member of sports team[U.S], name[Matteo Bruscagin], member of sports team[A.C], name[Savino Bellini], member of sports team[A.C], name[Bruno Montelongo], member of sports team[A.C], name[Enrico Canfari], member of sports team[A.C], name[Fabrizio Ferron], member of sports team[A.C])",A.C. Milan head coach Stefano Pioli. Stefano Pioli member of sports team U.S. Pistoiese 1921. Matteo Bruscagin member of sports team A.C. Milan. Savino Bellini member of sports team A.C. Milan. Bruno Montelongo member of sports team A.C. Milan. Enrico Canfari member of sports team A.C. Milan. Fabrizio Ferron member of sports team A.C. Milan.,A.C. Milan Stefano Pioli U.S. Pistoiese 1921 Matteo Bruscagin Savino Bellini Bruno Montelongo Enrico Canfari Fabrizio Ferron," A.C. Milan is a sports team coached by Stefano Pioli, formerly of U.S. Pistoiese 1921. Its members include Matteo Bruscagin, Savino Bellini, Bruno Montelongo, Enrico Canfari, and Fabrizio Ferron.",inform,teams,1,7
"suggest(name[Boston Celtics], league[National Basketball Association], name[National Basketball Association], country[United States of America])",Boston Celtics league National Basketball Association. National Basketball Association country United States of America.,Boston Celtics National Basketball Association United States of America," Have you followed the teams of the National Basketball Association in the United States of America, like Boston Celtics?",suggest,teams,1,2
"inform(name[Cristiano Ronaldo], member of sports team[], name[Adrian Mierzejewski], member of sports team[])",Cristiano Ronaldo member of sports team . 2017 Ballon d'Or winner Cristiano Ronaldo. Adrian Mierzejewski member of sports team .,Cristiano Ronaldo 2017 Ballon d'Or Adrian Mierzejewski," Cristiano Ronaldo and Adrian Mierzejewski are members of a sports team, with Ronaldo having won the 2017 Ballon d'Or.",inform,teams,1,3
"give_opinion(name[FC Metalist Kharkiv], rating[okay], name[Taison], member of sports team[FC Metalist Kharkiv])",FC Metalist Kharkiv rating okay. Taison member of sports team FC Metalist Kharkiv.,okay FC Metalist Kharkiv Taison,FC Metalist Kharkiv is an okay team with Taison as one of its members.,give_opinion,teams,1,2
"give_opinion(name[Rio Ave F.C.], rating[okay], name[Hélder Postiga], member of sports team[Rio Ave F.C.], member of sports team[Tottenham Hotspur F.C])",Rio Ave F.C. rating okay. Hélder Postiga member of sports team Rio Ave F.C.. Hélder Postiga member of sports team Tottenham Hotspur F.C..,okay Rio Ave F.C. Hélder Postiga Tottenham Hotspur F.C.,"

Rio Ave F.C. is an okay team with Hélder Postiga, who also plays for Tottenham Hotspur F.C.",give_opinion,teams,1,3
"inform(name[Bobby Davison], member of sports team[Leeds United F.C.], sport[association football], member of sports team[Hull City A.F.C], name[Mick Jones], member of sports team[Leeds United F.C.], name[Leeds United F.C.], home venue[Elland Road], name[Elland Road], sport[rugby league])",Bobby Davison member of sports team Leeds United F.C.. Bobby Davison sport association football. Mick Jones member of sports team Leeds United F.C.. Leeds United F.C. home venue Elland Road. Elland Road sport rugby league. Bobby Davison member of sports team Hull City A.F.C..,Leeds United F.C. Bobby Davison association football Mick Jones Elland Road rugby league Hull City A.F.C.," Bobby Davison and Mick Jones are members of the association football team Leeds United F.C. which plays its home games at Elland Road, a rugby league venue. Bobby Davison is also a member of the Hull City A.F.C. team.",inform,teams,1,6
"inform(name[Golden State Warriors], head coach[Steve Kerr], name[Steve Kerr], sport[basketball], member of sports team[Orlando Magic], member of sports team[Chicago Bulls], name[John Starks], member of sports team[Golden State Warriors], member of sports team[Golden State Warriors], name[Reggie Williams], member of sports team[Golden State Warriors])",Golden State Warriors head coach Steve Kerr. Steve Kerr sport basketball. John Starks member of sports team Golden State Warriors. John Starks member of sports team Golden State Warriors. Reggie Williams member of sports team Golden State Warriors. Steve Kerr member of sports team Orlando Magic. Steve Kerr member of sports team Chicago Bulls.,Golden State Warriors Steve Kerr basketball John Starks John Starks Reggie Williams Orlando Magic Chicago Bulls,"
Steve Kerr is the head coach of the Golden State Warriors basketball team and a former member of the Orlando Magic and Chicago Bulls. John Starks and Reggie Williams are members of the Golden State Warriors.",inform,teams,1,7
