mr,mr_new,pseudo_mr,text,da,entity,num_hops,num_triples
Exotic rating okay. Exotic domain cat breeds.,Exotic rating okay. Exotic domain cat breeds.,Exotic Okay, The Exotic cat breed is given an okay rating.,inform,cats,1,2
Burmese min weight 8.0. Burmese max weight 12. Burmese domain cat breeds.,Burmese min weight 8.0. Burmese max weight 12. Burmese domain cat breeds.,Burmese 8.0 12, The Burmese is a breed of cat that typically weighs between 8.0  and 12 pounds.,inform,cats,1,3
Burmilla other pets friendly very friendly to other pets. Burmilla family friendly very affectionate. Burmilla domain cat breeds.,Burmilla other pets friendly very friendly to other pets. Burmilla family friendly very affectionate. Burmilla domain cat breeds.,Burmilla Very Friendly To Other Pets Very Affectionate, The Burmilla cat is very friendly to other pets and is very affectionate towards its family.,inform,cats,1,3
Sokoke playfulness very playful. Sokoke grooming little grooming. Sokoke meowing sometimes meows. Sokoke shedding no shedding. Sokoke intelligence very intelligent. Sokoke max weight 10. Sokoke domain cat breeds.,Sokoke playfulness very playful. Sokoke grooming little grooming. Sokoke meowing sometimes meows. Sokoke shedding no shedding. Sokoke intelligence very intelligent. Sokoke max weight 10. Sokoke domain cat breeds.,Sokoke Very Playful Little Grooming Sometimes Meows No Shedding Very Intelligent 10," The Sokoke is a very playful, intelligent, and low-maintenance cat breed which sometimes meows and doesn't shed. They typically weigh no more than 10 pounds.",inform,cats,1,7
Kurilian Bobtail min life expectancy 15. Kurilian Bobtail rating good. Kurilian Bobtail children friendly very kid-friendly. Kurilian Bobtail shedding minimal shedding. Kurilian Bobtail grooming no grooming. Kurilian Bobtail max life expectancy 20. Kurilian Bobtail domain cat breeds.,Kurilian Bobtail min life expectancy 15. Kurilian Bobtail rating good. Kurilian Bobtail children friendly very kid-friendly. Kurilian Bobtail shedding minimal shedding. Kurilian Bobtail grooming no grooming. Kurilian Bobtail max life expectancy 20. Kurilian Bobtail domain cat breeds.,Kurilian Bobtail 15 Good Very Kid-Friendly Minimal Shedding No Grooming 20," The Kurilian Bobtail is a good rated cat breed with a lifespan of 15 to 20 years. It is very kid-friendly, with minimal shedding and no need for grooming.",inform,cats,1,7
Desert Lynx grooming little grooming. Desert Lynx intelligence very intelligent. Desert Lynx domain cat breeds.,Desert Lynx grooming little grooming. Desert Lynx intelligence very intelligent. Desert Lynx domain cat breeds.,Desert Lynx Little Grooming Very Intelligent, The Desert Lynx is a breed of cat that requires very little grooming and is considered very intelligent.,inform,cats,1,3
"Devon Rex intelligence very intelligent. Devon Rex origin Devon, England. Devon Rex domain cat breeds.","Devon Rex intelligence very intelligent. Devon Rex origin Devon, England. Devon Rex domain cat breeds.","Devon Rex Very Intelligent Devon, England"," The Devon Rex is a very intelligent cat breed that originated in Devon, England.",inform,cats,1,3
Foldex general health mainly healthy. Foldex max life expectancy 15. Foldex domain cat breeds.,Foldex general health mainly healthy. Foldex max life expectancy 15. Foldex domain cat breeds.,Foldex Mainly Healthy 15, The Foldex is a mainly healthy cat breed with a maximum life expectancy of  15 years.,inform,cats,1,3
Egyptian Mau meowing meows occasionally. Egyptian Mau rating okay. Egyptian Mau other pets friendly friendly to other pets. Egyptian Mau general health mainly healthy. Egyptian Mau domain cat breeds.,Egyptian Mau meowing meows occasionally. Egyptian Mau rating okay. Egyptian Mau other pets friendly friendly to other pets. Egyptian Mau general health mainly healthy. Egyptian Mau domain cat breeds.,Egyptian Mau Meows Occasionally Okay Friendly To Other Pets Mainly Healthy," The Egyptian Mau  is a cat breed that meows occasionally, and is overall rated okay. It is friendly to other pets and is mainly healthy.",inform,cats,1,5
Sokoke other pets friendly very friendly to other pets. Sokoke meowing sometimes meows. Sokoke shedding no shedding. Sokoke intelligence very intelligent. Sokoke children friendly most kid-friendly. Sokoke max life expectancy 15. Sokoke rating good. Sokoke domain cat breeds.,Sokoke other pets friendly very friendly to other pets. Sokoke meowing sometimes meows. Sokoke shedding no shedding. Sokoke intelligence very intelligent. Sokoke children friendly most kid-friendly. Sokoke max life expectancy 15. Sokoke rating good. Sokoke domain cat breeds.,Sokoke Very Friendly To Other Pets Sometimes Meows No Shedding Very Intelligent Most Kid-Friendly 15 Good," The Sokoke cat breed is known to be very friendly to other pets, sometimes meows, and does not shed. They are very intelligent and kid-friendly, with a maximum life expectancy of 15 years and a good rating.",inform,cats,1,8
"Turkish Van min weight 10.0. Turkish Van rating okay. Turkish Van shedding minimal shedding. Turkish Van origin Lake Van, Turkey. Turkish Van max weight 18. Turkish Van max life expectancy 17. Turkish Van intelligence most intelligent. Turkish Van domain cat breeds.","Turkish Van min weight 10.0. Turkish Van rating okay. Turkish Van shedding minimal shedding. Turkish Van origin Lake Van, Turkey. Turkish Van max weight 18. Turkish Van max life expectancy 17. Turkish Van intelligence most intelligent. Turkish Van domain cat breeds.","Turkish Van 10.0 Okay Minimal Shedding Lake Van, Turkey 18 17 Most Intelligent"," The Turkish Van is an okay rated cat breed originating from Lake Van, Turkey. It is one of the most intelligent cat breeds, and it has minimal shedding. A Turkish Van can weigh from 10 to 18 pounds, and they have a maximum lifespan of 17 years.",inform,cats,1,8
