,Unnamed: 0,index,mr_new,da,text,num_hops,num_triples,shape,test_pseudo_utt,pred,probs,LM_prob,PPL,pseudo_bleu,scores,criteria,da_acc,
48726,48726,0,Johnny Depp occupation screenwriter. John Krasinski occupation screenwriter. Johnny Depp domain actor.,recommend," Have you ever checked out Johnny Depp's work? He's an actor and screenwriter, just like John Krasinski.",2,3,(X (X (X))),Johnny Depp screenwriter John Krasinski,recommend,0.8111722,0.05137452287,19.46490097,4.553719184,0.86242354,match_scores,1,17
48757,48757,3,Johnny Depp spouse Amber Heard. Amber Heard occupation television actor. Johnny Depp domain actor.,recommend," Are you familiar with Johnny Depp? His wife is Amber Heard, who is a television actor.",2,3,(X (X (X))),Johnny Depp Amber Heard television actor,recommend,0.8885905,0.02817604741,35.49113846,7.01288758,0.84568024,match_scores,1,16
17577,17577,4,Johnny Depp spouse Amber Heard. Amber Heard sex or gender female. Johnny Depp domain actor.,inform,Johnny Depp is an actor who is married to female Amber Heard.,2,3,(X (X (X))),Johnny Depp Amber Heard female,inform,0.511417985,0.01951925466,51.23146439,9.23843021,0.82541305,match_scores_PPL,1,12
61742,61742,5,Johnny Depp rating highly rated. Fear and Loathing in Las Vegas cast member Johnny Depp. Johnny Depp domain actor.,verify_attribute,You said that Johnny Depp was highly rated in Fear and Loathing in Las Vegas. Do you usually think highly of the performances of Johnny Depp?,2,3,(X (X (X))),Johnny Depp highly rated Johnny Depp Fear and Loathing in Las Vegas,verify_attribute,0.9787295461,0.03798012123,26.32956314,22.00413657,0.8924957,match_scores,1,26
56090,56090,6,Once Upon a Time in Mexico cast member Johnny Depp. Once Upon a Time in Mexico cast member Salma Hayek. Johnny Depp domain actor.,suggest," Did you ever see Once Upon a Time in Mexico, which starred actors like Johnny Depp and Salma Hayek?",2,3,(X (X (X))),Johnny Depp Once Upon a Time in Mexico Salma Hayek,suggest,0.857313,0.04811282905,20.78447723,27.65355516,0.85057133,match_scores,1,19
48803,48803,8,Johnny Depp place of birth Owensboro. Tom Ewell place of birth Owensboro. Johnny Depp domain actor.,recommend," Have you seen anything by Johnny Depp? He's an actor from Owensboro, just like Tom Ewell.",2,3,(X (X (X))),Johnny Depp Owensboro Tom Ewell,recommend,0.65680474,0.01290282696,77.50239563,6.054506513,0.8502545,match_scores,1,16
17622,17622,9,Fear and Loathing in Las Vegas cast member Johnny Depp. Fear and Loathing in Las Vegas cast member Christina Ricci. Johnny Depp domain actor.,inform,Johnny Depp and Christina Ricci are actors who starred in Fear and Loathing in Las Vegas.,2,3,(X (X (X))),Johnny Depp Fear and Loathing in Las Vegas Christina Ricci,inform,0.4279454947,0.0522395726,19.14257622,34.82352833,0.89081484,match_scores,1,16
48827,48827,10,Marilyn Monroe place of birth Los Angeles. John Gavin place of birth Los Angeles. Marilyn Monroe domain actor.,recommend," Have you heard of Marilyn Monroe? She's an actor from Los Angeles, just like John Gavin.",2,3,(X (X (X))),Marilyn Monroe Los Angeles John Gavin,recommend,0.88067913,0.02424422012,41.24694443,7.01288758,0.83474034,match_scores,1,16
61800,61800,11,Marilyn Monroe rating highly rated. The Seven Year Itch cast member Marilyn Monroe. Marilyn Monroe domain actor.,verify_attribute,You said Marilyn Monroe was highly rated in The Seven Year Itch. Do you usually rate Marilyn Monroe's performances highly?,2,3,(X (X (X))),Marilyn Monroe highly rated Marilyn Monroe The Seven Year Itch,verify_attribute,0.9817534685,0.01694258977,59.02285385,15.04714945,0.897369,match_scores,1,20
56152,56152,12,Marilyn Monroe spouse Arthur Miller. Arthur Miller place of birth New York City. Marilyn Monroe domain actor.,suggest," Are you familiar with the work of actors from New York City, like Marilyn Monroe's spouse Arthur Miller?",2,3,(X (X (X))),Marilyn Monroe Arthur Miller New York City,suggest,0.95947564,0.01450607604,68.93663025,9.379601158,0.81539345,match_scores,1,18
17666,17666,13,Marilyn Monroe spouse Arthur Miller. Arthur Miller spouse Inge Morath. Marilyn Monroe domain actor.,inform,Marilyn Monroe was an actor who was married to Arthur Miller. Arthur Miller was married to Inge Morath.,2,3,(X (X (X))),Marilyn Monroe Arthur Miller Inge Morath,inform,0.3179556131,0.01623410141,61.59872818,6.632379584,0.8246305,match_scores,1,18
48870,48870,14,Marilyn Monroe spouse Arthur Miller. Arthur Miller occupation screenwriter. Marilyn Monroe domain actor.,recommend,Have you heard of Marilyn Monroe? She was an actor whose spouse was the screenwriter Arthur Miller.,2,3,(X (X (X))),Marilyn Monroe Arthur Miller screenwriter,recommend,0.9106364,0.0169702577,58.9266243,6.054506513,0.80933046,match_scores,1,17
17680,17680,15,Marilyn Monroe spouse Arthur Miller. Arthur Miller sex or gender male. Marilyn Monroe domain actor.,inform,Marilyn Monroe was a male actor who was married to Arthur Miller.,2,3,(X (X (X))),Marilyn Monroe Arthur Miller male,inform,0.2951413989,0.01321759067,75.65675354,9.23843021,0.84583837,match_scores,1,12
17696,17696,16,Marilyn Monroe spouse Arthur Miller. Arthur Miller date of birth 1915. Marilyn Monroe domain actor.,inform," Marilyn Monroe was an actor married to Arthur Miller, who was born in 1915.",2,3,(X (X (X))),Marilyn Monroe Arthur Miller 1915,inform,0.3126977384,0.01810947284,55.21971893,7.314031827,0.832849,match_scores_PPL,1,14
