mr_new,pseudo_mr,text,da,entity,num_hops,num_triples,pred,da_acc,LM_prob,PPL,pseudo_bleu,BBLEU
So Good publication year 2012. So Good domain songs.,So Good 2012," Are you referring to So Good, released in 2012?",confirm,songs,1,2,confirm,1,0.004470512734,223.6879883,8.295193507,0.77282596
Y.M.C.A. record label Casablanca Records. Y.M.C.A. domain songs.,Y.M.C.A. Casablanca Records,Are you referring to Y.M.C.A. from Casablanca Records?,confirm,songs,1,2,confirm,1,0.02286049754,43.74357986,48.41524713,0.90586686
Black Barbies performer Nicki Minaj. Black Barbies domain songs.,Black Barbies Nicki Minaj,Are you referring to Black Barbies performed by Nicki Minaj?,confirm,songs,1,2,confirm,1,0.00912481374,109.5912781,10.60031338,0.9307945
In My Bed genres soul music. In My Bed domain songs.,In My Bed Soul Music,Are you referring to the soul music song In My Bed?,confirm,songs,1,2,confirm,1,0.003944719276,253.5034637,12.60596809,0.82321674
"Money, Cash, Hoes genres East Coast hip hop. Money, Cash, Hoes domain songs.","Money, Cash, Hoes East Coast Hip Hop"," Are you referring to Money, Cash, Hoes, an East Coast hip hop song?",confirm,songs,1,2,confirm,1,0.006822281929,146.5785217,24.62395303,0.898841
Break My Soul performer Beyoncé. Break My Soul domain songs.,Break My Soul Beyoncé,Are you referring to the Beyoncé song Break My Soul?,confirm,songs,1,2,confirm,1,0.00728003057,137.3620605,14.99110695,0.8547883
Space Oddity record label Philips Records. Space Oddity domain songs.,Space Oddity Philips Records,Are you referring to Space Oddity on Philips Records?,confirm,songs,1,2,confirm,1,0.002310651463,432.7783813,11.86840522,0.8731564
Kings of the Wild Frontier producer Chris Hughes. Kings of the Wild Frontier domain songs.,Kings Of The Wild Frontier Chris Hughes,Are you referring to the song Kings of the Wild Frontier produced by Chris Hughes?,confirm,songs,1,2,confirm,1,0.004833452186,206.8914642,7.314031827,0.8636895
Cold Heart producer Pnau. Cold Heart domain songs.,Cold Heart Pnau,Are you referring to Pnau's Cold Heart?,confirm,songs,1,2,confirm,1,0.00321987455,310.571106,11.04479557,0.8743238
"Cold Heart from album N/A"". Cold Heart domain songs.","Cold Heart N/A""",Are you referring to the song Cold Heart?,confirm,songs,1,2,confirm,1,0.004622120687,216.3509064,9.535414041,0.61177975
Every Breath You Take genres pop rock. Every Breath You Take domain songs.,Every Breath You Take Pop Rock,Are you referring to the pop rock song Every Breath You Take?,confirm,songs,1,2,confirm,1,0.01129740245,88.51592255,19.33853138,0.8168653
I producer Rahki. I domain songs.,I Rahki," Are you referring to the song I, produced by Rahki?",confirm,songs,1,2,confirm,1,0.003631753817,275.3490601,4.027248192,0.7146093
Wild performer Troye Sivan. Wild domain songs.,Wild Troye Sivan,Are you referring to the Troye Sivan song Wild?,confirm,songs,1,2,confirm,1,0.005240122019,190.8352509,9.287529,0.8616578
