mr_new,pseudo_mr,text,da,entity,num_hops,num_triples
"Lochis Madonna  creator Titian. Lochis Madonna  materials panel, oil paint. Lochis Madonna  movements Venetian school, High Renaissance. ","Lochis Madonna Titian Panel, Oil Paint Venetian School, High Renaissance",Is the Lochis Madonna the High Renaissance painting by Titian on panel with oil paint that belongs to the Venetian school?,confirm,paintings,1,3
"The Haywain Triptych  creator Hieronymus Bosch. The Haywain Triptych  materials panel, oil paint. The Haywain Triptych  location Museo del Prado. ","The Haywain Triptych Hieronymus Bosch Panel, Oil Paint Museo Del Prado","Just to be sure, is The Haywain Triptych you're referring to the panel painting with oil paint located in Museo del Prado by Hieronymus Bosch?",confirm,paintings,1,3
Count Lepic and His Daughters  creator Edgar Degas. Count Lepic and His Daughters  location Foundation E.G. Bührle Collection.,Count Lepic And His Daughters Edgar Degas Foundation E.G. Bührle Collection,"Is the painting you're referring to Count Lepic and His Daughters by Edgar Degas, located in the Foundation E.G. Bührle Collection?",confirm,paintings,1,4
Virgin of the Consellers  creator Lluís Dalmau. Virgin of the Consellers  inception 1445. Virgin of the Consellers  movements Gothic painting.,Virgin Of The Consellers Lluís Dalmau 1445 Gothic Painting,"Is the Gothic painting from 1445, Virgin of the Consellers, by Lluís Dalmau the one you're referring to?",confirm,paintings,1,3
"Madonna and Child  creator Carlo Crivelli. Madonna and Child  location Victoria and Albert Museum. Madonna and Child  materials gold, tempera, panel. ","Madonna And Child Carlo Crivelli Victoria And Albert Museum Gold, Tempera, Panel","Is the Madonna and Child painting you mentioned by Carlo Crivelli, featuring gold, tempera, and panel, located in the Victoria and Albert Museum?",confirm,paintings,1,3
"The Resurrection  creator El Greco. The Resurrection  genres religious art. The Resurrection  materials canvas, oil paint. ","The Resurrection El Greco Religious Art Canvas, Oil Paint","Are you referring to El Greco's religious art piece, The Resurrection, painted on canvas with oil paint?",confirm,paintings,1,3
Grande Odalisque  creator Jean Auguste Dominique Ingres. Grande Odalisque  location Louvre. Grande Odalisque  inception 1814.,Grande Odalisque Jean Auguste Dominique Ingres Louvre 1814,Are you referring to Jean Auguste Dominique Ingres' Grande Odalisque located in the Louvre and created in 1814?,confirm,paintings,1,3
Crucifixion of St. Peter  creator Caravaggio. Crucifixion of St. Peter  movements Baroque. Crucifixion of St. Peter  genres religious art.,Crucifixion Of St. Peter Caravaggio Baroque Religious Art,"Is the painting you're referring to the Baroque religious art piece, Crucifixion of St. Peter, by Caravaggio?",confirm,paintings,1,6
The Tiger Hunt  creator Peter Paul Rubens. The Tiger Hunt  inception 1617. The Tiger Hunt  genres genre art.,The Tiger Hunt Peter Paul Rubens 1617 Genre Art,"Are you referring to Peter Paul Rubens' genre art piece, The Tiger Hunt, created in 1617?",confirm,paintings,1,3
"Ancient Rome  creator Giovanni Paolo Panini. Ancient Rome  materials canvas, oil paint. ","Ancient Rome Giovanni Paolo Panini Canvas, Oil Paint",Were you referring to Giovanni Paolo Panini's painting of Ancient Rome on canvas with oil paint?,confirm,paintings,1,2
