mr_new,pseudo_mr,text,da,entity,num_hops,num_triples,pred,da_acc,LM_prob,PPL,pseudo_bleu,BBLEU
Downton Abbey rating average. Downton Abbey cast member Michelle Dockery. Anna Karenina cast member Michelle Dockery.,Downton Abbey average Michelle Dockery Anna Karenina," Downton Abbey is an average movie, but the performance of Michelle Dockery is worth watching. She also did a great job in Anna Karenina.",give_opinion,movies,2,3,give_opinion,1,0.04816653379,20.76130295,4.996434935,0.8414548
Top Gun: Maverick rating excellent. Top Gun: Maverick cast member Ed Harris.,Top Gun: Maverick excellent Ed Harris,Top Gun: Maverick is an excellent movie and Ed Harris' performance was outstanding.,give_opinion,movies,2,2,give_opinion,1,0.00757259312,132.0551605,18.20705281,0.8527574
Downton Abbey rating average. Downton Abbey cast member Imelda Staunton. Harry Potter and the Half-Blood Prince cast member Imelda Staunton.,Downton Abbey average Imelda Staunton Harry Potter and the Half-Blood Prince," Downton Abbey was an average movie, but Imelda Staunton's performance was excellent, as it was in Harry Potter and the Half-Blood Prince.",give_opinion,movies,2,3,give_opinion,1,0.03993535245,25.04047012,22.06773105,0.8803968
Top Gun: Maverick rating excellent. Top Gun: Maverick cast member Jean Louisa Kelly.,Top Gun: Maverick excellent Jean Louisa Kelly," I think Top Gun: Maverick is an excellent movie, with a great performance by Jean Louisa Kelly.",give_opinion,movies,2,2,give_opinion,1,0.008609787801,116.1468811,17.92334464,0.8744937
Top Gun: Maverick rating excellent. Top Gun: Maverick cast member Jack Schumacher.,Top Gun: Maverick excellent Jack Schumacher," Top Gun: Maverick is an excellent movie, and Jack Schumacher's performance was outstanding.",give_opinion,movies,2,2,give_opinion,1,0.01265073492,79.04679108,16.94357182,0.86697155
Top Gun: Maverick rating excellent. Top Gun: Maverick cast member Bob Stephenson.,Top Gun: Maverick excellent Bob Stephenson,Top Gun: Maverick is an excellent movie with a great performance by Bob Stephenson.,give_opinion,movies,2,2,give_opinion,1,0.007893671988,126.683754,18.92240569,0.87861925
Top Gun: Maverick rating excellent. Top Gun: Maverick cast member James Handy.,Top Gun: Maverick excellent James Handy," I believe Top Gun: Maverick will be an excellent movie, thanks to the great performance of James Handy.",give_opinion,movies,2,2,give_opinion,1,0.0185731959,53.84103012,14.05167698,0.8458941
Top Gun: Maverick rating excellent. Top Gun: Maverick cast member Kara Wang.,Top Gun: Maverick excellent Kara Wang," Top Gun: Maverick is an excellent movie, and the performance of Kara Wang was outstanding.",give_opinion,movies,2,2,give_opinion,1,0.008129573513,123.0076828,16.6174293,0.86318904
Top Gun: Maverick rating excellent. Top Gun: Maverick cast member Lyliana Wray.,Top Gun: Maverick excellent Lyliana Wray,Top Gun: Maverick is an excellent movie and Lyliana Wray gave an amazing performance in it.,give_opinion,movies,2,2,give_opinion,1,0.008079924877,123.7635269,16.6174293,0.86167836
Top Gun: Maverick rating excellent. Top Gun: Maverick cast member Jon Hamm.,Top Gun: Maverick excellent Jon Hamm," I think Top Gun: Maverick is an excellent movie, especially because of the great performance of Jon Hamm.",give_opinion,movies,2,2,give_opinion,1,0.02501884688,39.96986771,14.05167698,0.82598025
Doctor Strange in the Multiverse of Madness rating average. Doctor Strange in the Multiverse of Madness cast member Patrick Stewart.,Doctor Strange in the Multiverse of Madness average Patrick Stewart," Doctor Strange in the Multiverse of Madness has an average rating, but the presence of Patrick Stewart is a huge draw.",give_opinion,movies,2,2,give_opinion,1,0.01556885559,64.23079681,28.48931828,0.8470475
Doctor Strange in the Multiverse of Madness rating average. Doctor Strange in the Multiverse of Madness cast member Charlize Theron.,Doctor Strange in the Multiverse of Madness average Charlize Theron," Doctor Strange in the Multiverse of Madness is an average movie, but I think it's worth watching for the performance of Charlize Theron.",give_opinion,movies,2,2,give_opinion,1,0.03052942602,32.75528336,26.05892927,0.82224524
Doctor Strange in the Multiverse of Madness rating average. Doctor Strange in the Multiverse of Madness cast member Hayley Atwell.,Doctor Strange in the Multiverse of Madness average Hayley Atwell," Doctor Strange in the Multiverse of Madness has an average rating, but I think it's worth watching for the performance of Hayley Atwell.",give_opinion,movies,2,2,give_opinion,1,0.02279229032,43.87448502,26.05892927,0.8377277
Doctor Strange in the Multiverse of Madness rating average. Doctor Strange in the Multiverse of Madness cast member Elizabeth Olsen.,Doctor Strange in the Multiverse of Madness average Elizabeth Olsen," Doctor Strange in the Multiverse of Madness has an average rating, but I think it's worth watching for the performance of Elizabeth Olsen.",give_opinion,movies,2,2,give_opinion,1,0.01913929815,52.2485199,26.05892927,0.850787
Doctor Strange in the Multiverse of Madness rating average. Doctor Strange in the Multiverse of Madness cast member Bruce Campbell.,Doctor Strange in the Multiverse of Madness average Bruce Campbell," Doctor Strange in the Multiverse of Madness had an average rating, but I think Bruce Campbell's appearance made it worth watching.",give_opinion,movies,2,2,give_opinion,1,0.01203836973,83.06772614,26.69967574,0.82284343
Doctor Strange in the Multiverse of Madness rating average. Doctor Strange in the Multiverse of Madness cast member Benedict Cumberbatch.,Doctor Strange in the Multiverse of Madness average Benedict Cumberbatch," Doctor Strange in the Multiverse of Madness has an average rating, but I think Benedict Cumberbatch's performance makes it worth watching.",give_opinion,movies,2,2,give_opinion,1,0.02091434353,47.81407547,26.69967574,0.8315487
Doctor Strange in the Multiverse of Madness rating average. Doctor Strange in the Multiverse of Madness cast member John Krasinski.,Doctor Strange in the Multiverse of Madness average John Krasinski," Doctor Strange in the Multiverse of Madness has an average rating, but I think the presence of John Krasinski makes it worth watching.",give_opinion,movies,2,2,give_opinion,1,0.01991890166,50.20357132,26.05892927,0.8572692
Doctor Strange in the Multiverse of Madness rating average. Doctor Strange in the Multiverse of Madness cast member Rachel McAdams.,Doctor Strange in the Multiverse of Madness average Rachel McAdams," Doctor Strange in the Multiverse of Madness had an average rating, but I am looking forward to Rachel McAdams' performance.",give_opinion,movies,2,2,give_opinion,1,0.01284531738,77.84938049,28.00590078,0.87739253
Doctor Strange in the Multiverse of Madness rating average. Doctor Strange in the Multiverse of Madness cast member Michael Stuhlbarg.,Doctor Strange in the Multiverse of Madness average Michael Stuhlbarg," Doctor Strange in the Multiverse of Madness has an average rating, but I think it's worth watching for the performance of Michael Stuhlbarg.",give_opinion,movies,2,2,give_opinion,1,0.02709803718,36.90304184,26.05892927,0.8582981
Doctor Strange in the Multiverse of Madness rating average. Doctor Strange in the Multiverse of Madness cast member Chiwetel Ejiofor.,Doctor Strange in the Multiverse of Madness average Chiwetel Ejiofor," Doctor Strange in the Multiverse of Madness has an average rating, but I think it's worth watching for the performance of Chiwetel Ejiofor.",give_opinion,movies,2,2,give_opinion,1,0.03731068557,26.80197334,26.05892927,0.8594626
