mr_new,pseudo_mr,text,da,entity,num_hops,num_triples
"boardgames name Afrikan tähti. Afrikan tähti genre roll-and-move. Afrikan tähti minimum number of players 2. Afrikan tähti alternate names African Star, Diamond Hunt. Afrikan tähti publication year 1951. Afrikan tähti maximum number of players 6. Afrikan tähti instance of boardgames. Afrikan tähti complexity rating simple.","Afrikan Tähti Roll-And-Move 2 African Star, Diamond Hunt 1951 6 Board Game Simple","Afrikan tähti, also known as African Star or Diamond Hunt, is a 1951 roll-and-move board game for 2 to 6 players with a simple complexity rating.",inform,boardgames,1,8
boardgames name Monopoly. Monopoly average rating poor. Monopoly game mechanics resource management. Monopoly genre roll-and-move.,Monopoly Poor Resource Management Roll-And-Move,You didn't like Monopoly. Do you usually find roll-and-move games with resource management mechanics boring?,verify_attribute,boardgames,1,4
boardgames name Carcassonne. Carcassonne genre German-style boardgames. Carcassonne average rating good. Carcassonne maximum playing time 45. Carcassonne complexity rating moderate. Carcassonne publication year 2000. Carcassonne alternate names Carcassonne Jubilee Edition. Carcassonne country of origin Germany.,Carcassonne German-Style Board Game Good 45 Moderate 2000 Carcassonne Jubilee Edition Germany,"Carcassonne Jubilee Edition, also known as Carcassonne, is a moderate German-style board game from 2000 with a good rating. It can be played in up to 45 minutes.",inform,boardgames,1,8
boardgames name Betrayal at House on the Hill. Betrayal at House on the Hill genre cooperative boardgames. Betrayal at House on the Hill minimum playing time 60. Betrayal at House on the Hill publisher Hasbro. Betrayal at House on the Hill minimum number of players 3. Betrayal at House on the Hill developer Bruce Glassco. Betrayal at House on the Hill publication year 2004. Betrayal at House on the Hill complexity rating complex.,Betrayal At House On The Hill Cooperative Board Game 60 Hasbro 3 Bruce Glassco 2004 Complex,Betrayal at House on the Hill is a complex cooperative board game developed by Bruce Glassco for Hasbro in 2004. It requires at least 3 players and a minimum playing time of 60 minutes.,inform,boardgames,1,8
boardgames name Twilight Struggle. Twilight Struggle publisher GMT Games.,Twilight Struggle Gmt Games,"Have you ever played a board game published by GMT Games, like Twilight Struggle?",suggest,boardgames,1,2
boardgames name Betrayal at House on the Hill.,Betrayal At House On The Hill,Have you ever played a board game like Betrayal at House on the Hill?,suggest,boardgames,1,1
boardgames name Punaisten ja valkoisten taistelu Suomessa 1918. Punaisten ja valkoisten taistelu Suomessa 1918 genre wargame. Punaisten ja valkoisten taistelu Suomessa 1918 average rating poor. Punaisten ja valkoisten taistelu Suomessa 1918 publication year 1918. Punaisten ja valkoisten taistelu Suomessa 1918 minimum number of players 2. Punaisten ja valkoisten taistelu Suomessa 1918 maximum number of players 2. Punaisten ja valkoisten taistelu Suomessa 1918 instance of boardgames.,Punaisten Ja Valkoisten Taistelu Suomessa 1918 Wargame Poor 1918 2 2 Board Game,Punaisten ja valkoisten taistelu Suomessa 1918 is a 1918 wargame board game for 2 players with a poor rating.,inform,boardgames,1,7
boardgames name Dune. Dune genre science fiction. Dune minimum number of players 2. Dune publisher Avalon Hill. Dune alternate names Frank Herberts Dune. Dune minimum playing time 60. Dune instance of boardgames.,Dune Science Fiction 2 Avalon Hill Frank Herbert'S Dune 60 Board Game,"Frank Herberts Dune, also known as Dune, is a science fiction board game published by Avalon Hill. It requires a minimum of 2 players and 60 minutes.",inform,boardgames,1,7
boardgames name Scotland Yard. Scotland Yard alternate names Fanton. Scotland Yard instance of boardgames.,Scotland Yard Fanton Board Game,"Have you ever heard of Scotland Yard, or its alternate name Fanton? It's a board game.",recommend,boardgames,1,3
boardgames name Scotland Yard. Scotland Yard average rating average. Scotland Yard genre deduction game.,Scotland Yard Average Deduction Game,You found Scotland Yard to be just average. Is this the same for other deduction board games?,verify_attribute,boardgames,1,3
