mr_new,pseudo_mr,text,da,entity,num_hops,num_triples,pred,da_acc,LM_prob,PPL,pseudo_bleu,BBLEU
Stranger Things cast member Winona Ryder. Winona Ryder award received Golden Globe Award for Best Supporting Actress – Motion Picture. Stranger Things domain tv.,Stranger Things Winona Ryder Golden Globe Award for Best Supporting Actress – Motion Picture," Have you seen Stranger Things? Winona Ryder, who won a Golden Globe Award for Best Supporting Actress – Motion Picture, is in the cast.",recommend,TV shows,2,3,recommend,1,0.02772157197,36.07299042,36.39723552,0.9340422
Stranger Things cast member Winona Ryder. Show Me a Hero cast member Winona Ryder. Stranger Things domain tv.,Stranger Things Winona Ryder Show Me a Hero,Did you watch Winona Ryder in Stranger Things or Show Me a Hero?,suggest,TV shows,2,3,suggest,1,0.0121083283,82.58778381,24.02211086,0.9186966
Stranger Things genre science fiction television program. Beauty and the Beast genre science fiction television program. Stranger Things domain tv.,Stranger Things science fiction television program Beauty and the Beast,Are you familiar with science fiction television programs such as Stranger Things and Beauty and the Beast?,suggest,TV shows,2,3,suggest,1,0.04713843886,21.21410942,21.67183006,0.88180214
Obi-Wan Kenobi genre science fiction. Andor genre science fiction. Obi-Wan Kenobi domain tv.,Obi-Wan Kenobi science fiction Andor," Obi-Wan Kenobi is a science fiction television series, while Andor is a science fiction show.",inform,TV shows,2,3,inform,1,0.02817796455,35.48872375,6.839596062,0.8200543
Stranger Things screenwriter Ross Duffer. Chapter Nine: The Piggyback screenwriter Ross Duffer. Stranger Things domain tv.,Stranger Things Ross Duffer Chapter Nine: The Piggyback," Did you follow the tv series Stranger Things, written by Ross Duffer in Chapter Nine: The Piggyback?",suggest,TV shows,2,3,suggest,1,0.008671854924,115.3155823,22.97523683,0.8332529
The Lord of the Rings: The Rings of Power cast member Maxim Baldry. Rome cast member Maxim Baldry. The Lord of the Rings: The Rings of Power domain tv.,The Lord of the Rings: The Rings of Power Maxim Baldry Rome,Did you see Maxim Baldry in The Lord of the Rings: The Rings of Power or Rome?,suggest,TV shows,2,3,suggest,1,0.009452214761,105.795311,52.89128182,0.9385262
The Lord of the Rings: The Rings of Power genre action television series. Supernatural genre action television series. The Lord of the Rings: The Rings of Power domain tv.,The Lord of the Rings: The Rings of Power action television series Supernatural,Do you like action television series like The Lord of the Rings: The Rings of Power and Supernatural?,suggest,TV shows,2,3,suggest,1,0.02390980557,41.82384491,53.74512308,0.9274018
The Lord of the Rings: The Rings of Power screenwriter Gennifer Hutchison. Piñata screenwriter Gennifer Hutchison. The Lord of the Rings: The Rings of Power domain tv.,The Lord of the Rings: The Rings of Power Gennifer Hutchison Piñata,Did you follow Gennifer Hutchison's television series The Lord of the Rings: The Rings of Power and Piñata?,suggest,TV shows,2,3,suggest,1,0.0230236067,43.43368149,47.75586214,0.9189151
The Lord of the Rings: The Rings of Power rating good. The Lord of the Rings: The Rings of Power screenwriter Gennifer Hutchison. The Lord of the Rings: The Rings of Power domain tv.,The Lord of the Rings: The Rings of Power good The Lord of the Rings: The Rings of Power Gennifer Hutchison,The Lord of the Rings: The Rings of Power is a good show with great writing from Gennifer Hutchison.,give_opinion,TV shows,2,3,give_opinion,1,0.02709933418,36.90127563,43.137266,0.8807538
Wednesday cast member Fred Armisen. Documentary Now! creator Fred Armisen. Wednesday domain tv.,Wednesday Fred Armisen Documentary Now!," Have you heard of Wednesday? It stars Fred Armisen and was created by Fred Armisen, the creator of Documentary Now!.",recommend,TV shows,2,3,recommend,1,0.02171936104,46.04187012,7.707532489,0.81073457
The Crown genre biographical film. Victoria genre biographical film. The Crown domain tv.,The Crown biographical film Victoria," The Crown is a biographical film, while Victoria is a biographical film.",inform,TV shows,2,3,inform,1,0.02463633901,40.59044647,8.493098745,0.90500903
Wednesday creator Alfred Gough. Smallville screenwriter Alfred Gough. Wednesday domain tv.,Wednesday Alfred Gough Smallville," Are you a fan of Alfred Gough's work, such as Wednesday and Smallville?",suggest,TV shows,2,3,suggest,1,0.009731867277,102.7552032,3.458592114,0.8431464
The Big Bang Theory genre American television sitcom. Friends genre American television sitcom. The Big Bang Theory domain tv.,The Big Bang Theory American television sitcom Friends," The Big Bang Theory is an American television sitcom, as is Friends.",inform,TV shows,2,3,inform,1,0.02563832479,39.00410843,26.58483577,0.93305504
Wednesday genre comedy horror. Ash vs Evil Dead genre comedy horror. Wednesday domain tv.,Wednesday comedy horror Ash vs Evil Dead,Have you seen the comedy horror TV series Wednesday or Ash vs Evil Dead?,recommend,TV shows,2,3,recommend,1,0.009536948801,104.8553391,20.33344819,0.8688253
Downton Abbey genre LGBTI+ related TV series. Heroes genre LGBTI+ related TV series. Downton Abbey domain tv.,Downton Abbey LGBTI+ related TV series Heroes,Downton Abbey and Heroes are LGBTI+ related TV series.,inform,TV shows,2,3,inform,1,0.006289540558,158.9941254,41.72261449,0.97762454
Lucifer genre fantasy television series. Winx Club genre fantasy television series. Lucifer domain tv.,Lucifer fantasy television series Winx Club," Lucifer is a fantasy television series, and Winx Club is another fantasy television series.",inform,TV shows,2,3,inform,1,0.007838859854,127.5695724,11.98091453,0.9068353
Wednesday screenwriter Alfred Gough. Smallville creator Alfred Gough. Wednesday domain tv.,Wednesday Alfred Gough Smallville," Are you familiar with Alfred Gough's works, like Wednesday or Smallville?",suggest,TV shows,2,3,suggest,1,0.00556325589,179.7508545,4.065425429,0.84940165
Obi-Wan Kenobi genre science fiction. Andor genre science fiction. Obi-Wan Kenobi domain tv.,Obi-Wan Kenobi science fiction Andor,Are you a fan of science fiction shows like Obi-Wan Kenobi and Andor?,suggest,TV shows,2,3,suggest,1,0.02720617669,36.7563591,8.493098745,0.8757836
Obi-Wan Kenobi cast member Ewan McGregor. Ewan McGregor award received Donostia Award. Obi-Wan Kenobi domain tv.,Obi-Wan Kenobi Ewan McGregor Donostia Award," Have you seen Obi-Wan Kenobi? It stars Ewan McGregor, who won a Donostia Award for his performance.",recommend,TV shows,2,3,recommend,1,0.01789777477,55.87286758,6.632379584,0.89326483
Obi-Wan Kenobi characters Darth Vader. Star Wars: Battlefront II characters Darth Vader. Obi-Wan Kenobi domain tv.,Obi-Wan Kenobi Darth Vader Star Wars: Battlefront II," Are you familiar with shows featuring Darth Vader, such as Obi-Wan Kenobi and Star Wars: Battlefront II?",suggest,TV shows,2,3,suggest,1,0.03549945209,28.16944885,22.97523683,0.9088845
Obi-Wan Kenobi cast member Ewan McGregor. Ewan McGregor award received Donostia Award. Obi-Wan Kenobi domain tv.,Obi-Wan Kenobi Ewan McGregor Donostia Award," Did you watch the tv show Obi-Wan Kenobi starring Ewan McGregor, who won the Donostia Award?",suggest,TV shows,2,3,suggest,1,0.01062375321,94.12869263,7.439820586,0.8878868
Obi-Wan Kenobi cast member Ewan McGregor. Long Way Round cast member Ewan McGregor. Obi-Wan Kenobi domain tv.,Obi-Wan Kenobi Ewan McGregor Long Way Round," Have you seen Ewan McGregor in any tv series, like Obi-Wan Kenobi or Long Way Round?",suggest,TV shows,2,3,suggest,1,0.01377338126,72.60381317,11.75029694,0.88041407
Obi-Wan Kenobi screenwriter Hossein Amini. McMafia screenwriter Hossein Amini. Obi-Wan Kenobi domain tv.,Obi-Wan Kenobi Hossein Amini McMafia," Have you watched Obi-Wan Kenobi, written by Hossein Amini? He also wrote the McMafia series.",recommend,TV shows,2,3,recommend,1,0.01001314975,99.86867523,6.423094863,0.8437708
Obi-Wan Kenobi screenwriter Hossein Amini. McMafia creator Hossein Amini. Obi-Wan Kenobi domain tv.,Obi-Wan Kenobi Hossein Amini McMafia," Have you seen Obi-Wan Kenobi, written by Hossein Amini who also created McMafia?",recommend,TV shows,2,3,recommend,1,0.007262004147,137.7030334,7.859438682,0.88789296
Obi-Wan Kenobi screenwriter Hossein Amini. McMafia screenwriter Hossein Amini. Obi-Wan Kenobi domain tv.,Obi-Wan Kenobi Hossein Amini McMafia," Are you familiar with Hossein Amini's works, such as Obi-Wan Kenobi and McMafia?",suggest,TV shows,2,3,suggest,1,0.01384905071,72.20711517,6.250381528,0.9178883
Obi-Wan Kenobi screenwriter Hossein Amini. McMafia creator Hossein Amini. Obi-Wan Kenobi domain tv.,Obi-Wan Kenobi Hossein Amini McMafia," Are you familiar with Hossein Amini's work, like Obi-Wan Kenobi or McMafia?",suggest,TV shows,2,3,suggest,1,0.01311270471,76.26191711,6.754312829,0.91822076
Yellowstone genre television western. Breaking Bad genre television western. Yellowstone domain tv.,Yellowstone television western Breaking Bad,Have you seen the television western Yellowstone? It's similar to Breaking Bad.,recommend,TV shows,2,3,recommend,1,0.007144827316,139.9613953,8.493098745,0.86246014
Yellowstone cast member Kevin Costner. Kevin Costner award received Academy Award for Best Picture. Yellowstone domain tv.,Yellowstone Kevin Costner Academy Award for Best Picture," Did you watch Yellowstone, featuring Kevin Costner who won an Academy Award for Best Picture?",suggest,TV shows,2,3,suggest,1,0.01303507173,76.71611023,25.45984532,0.91169405
Breaking Bad rating excellent. Breaking Bad award received Primetime Emmy Award for Outstanding Single-Camera Picture Editing for a Drama Series. Breaking Bad domain tv.,Breaking Bad excellent Breaking Bad Primetime Emmy Award for Outstanding Single-Camera Picture Editing for a Drama Series,Breaking Bad is an excellent show that is deserving of its Primetime Emmy Award for Outstanding Single-Camera Picture Editing for a Drama Series.,give_opinion,TV shows,2,3,give_opinion,1,0.04527884479,22.08536911,50.20344159,0.9181533
