mr_new,pseudo_mr,text,da,entity,num_hops,num_triples
Ryan Reynolds height taller. Ryan Reynolds place of birth Vancouver. Ryan Reynolds occupation actor. Ryan Reynolds awards received Saturn Award. Ryan Reynolds cast member of Deadpool 2. Ryan Reynolds gender male. Ryan Reynolds domain actor.,Ryan Reynolds Taller Vancouver 'Actor' 'Saturn Award' 'Deadpool 2' Male,Ryan Reynolds is a taller-than-average male actor born in Vancouver. He has received a Saturn Award and is best known for his role in Deadpool 2.,inform,movie actors,1,7
Farrah Fawcett awards received TCA Award for Outstanding Achievement in Movies. Farrah Fawcett spouse Lee Majors. Farrah Fawcett height taller. Farrah Fawcett gender female. Farrah Fawcett date of birth 1947. Farrah Fawcett domain actor.,Farrah Fawcett 'Tca Award For Outstanding Achievement In Movies Lee Majors Taller Female 1947,Farrah Fawcett was a female actor born in 1947 who was taller than average and married to Lee Majors. She won a TCA Award for Outstanding Achievement in Movies.,inform,movie actors,1,6
Phil Collins gender male. Phil Collins date of birth 1951. Phil Collins awards received Silver Clef Award. Phil Collins place of birth Chiswick. Phil Collins domain actor.,Phil Collins Male 1951 'Silver Clef Award' Chiswick,Phil Collins is a male actor born in 1951 in Chiswick. He has won the Silver Clef Award.,inform,movie actors,1,5
Traci Lords occupation film producer. Traci Lords cast member of Traci Lords: Underneath It All. Traci Lords spouse Brook Yeaton. Traci Lords awards received Penthouse Pet. Traci Lords rating lower rated. Traci Lords height taller. Traci Lords domain actor.,Traci Lords 'Film Producer' 'Traci Lords: Underneath It All' Brook Yeaton 'Penthouse Pet' Lower Rated Taller,Traci Lords is a lower rated actor and film producer who is taller than average. She was a cast member of Traci Lords: Underneath It All and was awarded Penthouse Pet. She is married to Brook Yeaton.,inform,movie actors,1,7
Marilyn Monroe occupation autobiographer. Marilyn Monroe cast member of Some Like It Hot. Marilyn Monroe gender female. Marilyn Monroe rating highly rated. Marilyn Monroe height average. Marilyn Monroe domain actor.,Marilyn Monroe 'Autobiographer' 'Some Like It Hot' Female Highly Rated Average," Marilyn Monroe is a highly rated female actor and autobiographer, best known for her role in Some Like It Hot. She is of average height.",inform,movie actors,1,6
George Clooney awards received European Film Award for Best Non-European Film. George Clooney gender male. George Clooney spouse Amal Clooney. George Clooney domain actor.,George Clooney 'European Film Award For Best Non-European Film' Male Amal Clooney,George Clooney is a male actor who is married to Amal Clooney and won a European Film Award for Best Non-European Film.,inform,movie actors,1,4
Chris Hemsworth awards received Member of the Order of Australia. Chris Hemsworth domain actor.,Chris Hemsworth 'Member Of The Order Of Australia',Chris Hemsworth is an actor who received the Member of the Order of Australia.,inform,movie actors,1,2
Pamela Adlon rating lower rated. Pamela Adlon awards received Primetime Emmy Award. Pamela Adlon spouse Felix O. Adlon. Pamela Adlon occupation film actor. Pamela Adlon height shorter. Pamela Adlon cast member of Grease 2. Pamela Adlon place of birth Albany. Pamela Adlon domain actor.,Pamela Adlon Lower Rated 'Primetime Emmy Award' Felix O. Adlon 'Film Actor' Shorter 'Grease 2' Albany," Pamela Adlon is a lower rated film actor from Albany. She has won a Primetime Emmy Award, is married to Felix O. Adlon, and is known for her shorter stature. She was a cast member of Grease 2.",inform,movie actors,1,9
Dwayne Johnson occupation businessperson. Dwayne Johnson awards received Wrestling Observer Newsletter Hall of Fame. Dwayne Johnson domain actor.,Dwayne Johnson 'Businessperson' 'Wrestling Observer Newsletter Hall Of Fame',Dwayne Johnson is an actor and businessperson who was inducted into the Wrestling Observer Newsletter Hall of Fame.,inform,movie actors,1,3
Lee Byung-hun place of birth Seoul. Lee Byung-hun height average. Lee Byung-hun cast member of Mr. Sunshine. Lee Byung-hun spouse Lee Min-jung. Lee Byung-hun awards received Grand Bell Awards. Lee Byung-hun gender male. Lee Byung-hun date of birth 1970. Lee Byung-hun domain actor.,Lee Byung-Hun Seoul Average 'Mr. Sunshine' Lee Min-Jung 'Grand Bell Awards' Male 1970,Lee Byung-hun is a male actor born in Seoul in 1970. He has an average height and is best known for his role in Mr. Sunshine. He married Lee Min-jung and has received the Grand Bell Awards.,inform,movie actors,1,9
