mr_new,pseudo_mr,text,da,entity,num_hops,num_triples,pred,da_acc,LM_prob,PPL,pseudo_bleu,BBLEU
So Good rating excellent. So Good part of Strange Clouds.,So Good excellent Strange Clouds,"
You said you love So Good from Strange Clouds. Do you usually have a great time listening to songs from Strange Clouds?",verify_attribute,songs,2,2,verify_attribute,1,0.01708431601,58.53321838,4.449945957,0.7184817
Seven Nation Army genre alternative rock. Adolar genre alternative rock. Seven Nation Army producer Jack White.,Seven Nation Army Adolar alternative rock Jack White,Seven Nation Army is an alternative rock song produced by Jack White. Adolar is another alternative rock group.,inform,songs,2,3,inform,1,0.004760790197,210.0491638,10.83063051,0.8527246
Stereotypes producer Stephen Street. Stephen Street genre indie rock. Stereotypes performer Blur. No Need to Argue producer Stephen Street.,Stereotypes Stephen Street indie rock Blur No Need to Argue," Stephen Street, an indie rock producer, worked on Stereotypes by Blur and No Need to Argue.",inform,songs,2,4,inform,1,0.008520049046,117.3702164,18.10719787,0.87098545
Wanna Get to Know You genre hip hop music. Jamie Foxx genre hip hop music.,Wanna Get to Know You Jamie Foxx hip hop music," Are you into hip hop music, like Wanna Get to Know You by Jamie Foxx?",suggest,songs,2,2,suggest,1,0.0160044016,62.48281097,31.46660997,0.94075
Old Town Road rating excellent. Old Town Road publication date 2018.,Old Town Road excellent 2018,"
You love Old Town Road. Do you think other songs from 2018 are as great?",verify_attribute,songs,2,2,verify_attribute,1,0.00814042279,122.8437424,9.147827112,0.7581405
pop music rating excellent. Jasmin Tabatabai genre pop music.,pop music Jasmin Tabatabai excellent,What makes Jasmin Tabatabai's pop music so excellent?,request_explanation,songs,2,2,request_explanation,1,0.006625891123,150.9230957,11.33958222,0.9362637
Evolution genre nu metal. Iowa genre nu metal. Evolution part of Untitled Korn album. Evolution record label Virgin Records. Evolution producer Atticus Ross. Evolution publication date 2007.,Evolution Iowa nu metal Untitled Korn album Virgin Records Atticus Ross 2007," Evolution is a nu metal song from the 2007 Untitled Korn album, released by Virgin Records and produced by Atticus Ross. Iowa is another example of nu metal.",inform,songs,2,6,inform,1,0.01043482221,95.83296967,7.939087148,0.8982071
We Are the World genre pop music. Maria von Trapp genre pop music. We Are the World record label Sony Music. We Are the World record label Columbia Records. We Are the World performer USA for Africa. We Are the World producer Quincy Jones. Nataly Dawn genre pop music.,We Are the World Maria von Trapp pop music Sony Music Columbia Records USA for Africa Quincy Jones Nataly Dawn," We Are the World is a pop song by USA for Africa, produced by Quincy Jones and released by Sony Music and Columbia Records. Other pop music artists include Maria von Trapp and Nataly Dawn.",inform,songs,2,7,inform,1,0.01208590702,82.74099731,15.25734061,0.89160556
Pumped Up Kicks genre pop rock. Alyssa Milano genre pop rock. Pumped Up Kicks producer Mark Foster. Pumped Up Kicks record label Startime International. Pumped Up Kicks performer Foster the People. Torches performer Foster the People. Zendaya genre pop rock.,Pumped Up Kicks Alyssa Milano pop rock Mark Foster Startime International Torches Foster the People Zendaya," Pumped Up Kicks by Foster the People is a pop rock song produced by Mark Foster, released by Startime International. Other pop rock artists include Alyssa Milano and Zendaya, Foster the People's album Torches.",inform,songs,2,7,inform,1,0.01484730908,67.35227203,9.219630712,0.8858813
Black Barbies genre hip hop music. Brittany Murphy genre hip hop music. Black Barbies publication date 2016. Black Barbies performer Nicki Minaj. Black Barbies producer Mike WiLL Made-It. Black Barbies record label Interscope Records. 5 O'Clock genre hip hop music.,Black Barbies Brittany Murphy hip hop music 2016 Nicki Minaj Mike WiLL Made-It Interscope Records 5 O'Clock," Black Barbies, a hip hop song by Nicki Minaj, produced by Mike WiLL Made-It and released by Interscope Records in 2016. Another example of hip hop music is 5 O'Clock by Brittany Murphy.",inform,songs,2,7,inform,1,0.03294448567,30.35409355,9.911971877,0.9048676
