mr,mr_new,pseudo_mr,text,da,entity,num_hops,num_triples
"confirm(name[Anthony van Dyck], genres[animal painting, portrait], movements[Baroque painting])","Anthony van Dyck  genres animal painting, portrait. Anthony van Dyck  movements Baroque painting. ","Anthony Van Dyck Animal Painting, Portrait Baroque Painting","Just to clarify, are you referring to an animal portrait painting by Anthony van Dyck from the Baroque painting movement?",confirm,painters,1,2
"confirm(name[Kazimir Malevich], life_period_century[XIX - XX], nationality[Russian])",Kazimir Malevich  life period century XIX - XX. Kazimir Malevich  nationality Russian.,Kazimir Malevich Xix - Xx Russian,"Just to confirm, when you mentioned Kazimir Malevich, are you referring to the Russian artist from the XIX-XX century?",confirm,painters,1,2
"confirm(name[Giuseppe Arcimboldo], movements[mannerism], nationality[Italian])",Giuseppe Arcimboldo  movements mannerism. Giuseppe Arcimboldo  nationality Italian.,Giuseppe Arcimboldo Mannerism Italian,"Were you referring to the Italian artist known for his mannerism style, Giuseppe Arcimboldo?",confirm,painters,1,2
"confirm(name[John Constable], occupations[landscape painter, painter], nationality[British])","John Constable  occupations landscape painter, painter. John Constable  nationality British. ","John Constable Landscape Painter, Painter British","To clarify, are you referring to the British landscape painter and painter John Constable?",confirm,painters,1,2
"confirm(name[Joshua Reynolds], movements[neoclassicism])",Joshua Reynolds  movements neoclassicism.,Joshua Reynolds Neoclassicism,"Just to clarify, are you referring to a painting by Joshua Reynolds from the neoclassicism movement?",confirm,painters,1,1
"confirm(name[Willem de Kooning], notable_works[Woman III, Woman I])","Willem de Kooning  notable works Woman III, Woman I. ","Willem De Kooning Woman Iii, Woman I","Just to confirm, are you referring to Willem de Kooning's painting Woman III or Woman I?",confirm,painters,1,1
"confirm(name[Otto Dix], genres[portrait painting, figure], movements[Expressionism, New Objectivity])","Otto Dix  genres portrait painting, figure. Otto Dix  movements Expressionism, New Objectivity. ","Otto Dix Portrait Painting, Figure Expressionism, New Objectivity","Just to clarify, when you mentioned Otto Dix, are you referring to the portrait painting and figure art by Otto Dix associated with Expressionism and New Objectivity movements?",confirm,painters,1,2
"confirm(name[John Constable], genres[religious art, genre art])","John Constable  genres religious art, genre art. ","John Constable Religious Art, Genre Art","Just to confirm, are you referring to a specific painting by John Constable in the genres of religious art and genre art?",confirm,painters,1,1
"confirm(name[Hieronymus Bosch], life_period_century[XV - XVI], occupations[visual artist, painter])","Hieronymus Bosch  life period century XV - XVI. Hieronymus Bosch  occupations visual artist, painter. ","Hieronymus Bosch Xv - Xvi Visual Artist, Painter","Just to clarify, are you referring to the visual artist and painter Hieronymus Bosch from the 15th to 16th centuries?",confirm,painters,1,2
"confirm(name[Kazimir Malevich], genres[still life, scenography], occupations[printmaker, sculptor])","Kazimir Malevich  genres still life, scenography. Kazimir Malevich  occupations printmaker, sculptor. ","Kazimir Malevich Still Life, Scenography Printmaker, Sculptor","When you mentioned Kazimir Malevich, were you referring to his still life or scenography painting, or perhaps to his work as a printmaker or sculptor?",confirm,painters,1,2
"confirm(name[Mary Cassatt], notable_works[Portrait of an Elderly Lady in a Bonnet: Red Background], movements[Impressionism])",Mary Cassatt  notable works Portrait of an Elderly Lady in a Bonnet: Red Background. Mary Cassatt  movements Impressionism.,Mary Cassatt Portrait Of An Elderly Lady In A Bonnet: Red Background Impressionism,Is the painting you're mentioning of Mary Cassatt's the Portrait of an Elderly Lady in a Bonnet: Red Background from the Impressionism movement?,confirm,painters,1,2
"confirm(name[Jean-Léon Gérôme], movements[academic art, Neo-Grec], nationality[French])","Jean-Léon Gérôme  movements academic art, Neo-Grec. Jean-Léon Gérôme  nationality French. ","Jean-Léon Gérôme Academic Art, Neo-Grec French","Just to clarify, are you referring to a painting by Jean-Léon Gérôme from the academic art and Neo-Grec movements, who was French?",confirm,painters,1,2
"confirm(name[John Constable], movements[Romanticism, realism], life_period_century[XVIII - XIX])","John Constable  movements Romanticism, realism. John Constable  life period century XVIII - XIX. ","John Constable Romanticism, Realism Xviii - Xix","When you mentioned John Constable, were you referring to the Romanticism and realism movement painter from the late 18th to the 19th century?",confirm,painters,1,2
