mr_new,pseudo_mr,text,da,entity,num_hops,num_triples,pred,da_acc,LM_prob,PPL,pseudo_bleu,BBLEU
"Anthony van Dyck  genres animal painting, portrait. Anthony van Dyck  movements Baroque painting. ","Anthony Van Dyck Animal Painting, Portrait Baroque Painting","Just to clarify, are you referring to an animal portrait painting by Anthony van Dyck from the Baroque painting movement?",confirm,painters,1,2,confirm,1,0.01262054303,79.23589325,2.442663322,0.91308516
Kazimir Malevich  life period century XIX - XX. Kazimir Malevich  nationality Russian.,Kazimir Malevich Xix - Xx Russian,"Just to confirm, when you mentioned Kazimir Malevich, are you referring to the Russian artist from the XIX-XX century?",confirm,painters,1,2,confirm,1,0.01325275635,75.45600128,3.8229747,0.767967
Giuseppe Arcimboldo  movements mannerism. Giuseppe Arcimboldo  nationality Italian.,Giuseppe Arcimboldo Mannerism Italian,"Were you referring to the Italian artist known for his mannerism style, Giuseppe Arcimboldo?",confirm,painters,1,2,confirm,1,0.01026203451,97.44656372,5.412989187,0.84989023
"John Constable  occupations landscape painter, painter. John Constable  nationality British. ","John Constable Landscape Painter, Painter British","To clarify, are you referring to the British landscape painter and painter John Constable?",confirm,painters,1,2,confirm,1,0.008937752067,111.8849564,5.816635421,0.91789055
Joshua Reynolds  movements neoclassicism.,Joshua Reynolds Neoclassicism,"Just to clarify, are you referring to a painting by Joshua Reynolds from the neoclassicism movement?",confirm,painters,1,1,confirm,1,0.01376078933,72.67024994,4.295382418,0.8066598
"Willem de Kooning  notable works Woman III, Woman I. ","Willem De Kooning Woman Iii, Woman I","Just to confirm, are you referring to Willem de Kooning's painting Woman III or Woman I?",confirm,painters,1,1,confirm,1,0.0137002023,72.99162292,5.401157445,0.82832044
"Otto Dix  genres portrait painting, figure. Otto Dix  movements Expressionism, New Objectivity. ","Otto Dix Portrait Painting, Figure Expressionism, New Objectivity","Just to clarify, when you mentioned Otto Dix, are you referring to the portrait painting and figure art by Otto Dix associated with Expressionism and New Objectivity movements?",confirm,painters,1,2,confirm,1,0.01160310052,86.18386078,3.901663113,0.8478761
"John Constable  genres religious art, genre art. ","John Constable Religious Art, Genre Art","Just to confirm, are you referring to a specific painting by John Constable in the genres of religious art and genre art?",confirm,painters,1,1,confirm,1,0.01201528678,83.22731018,3.4822709,0.85046816
"Hieronymus Bosch  life period century XV - XVI. Hieronymus Bosch  occupations visual artist, painter. ","Hieronymus Bosch Xv - Xvi Visual Artist, Painter","Just to clarify, are you referring to the visual artist and painter Hieronymus Bosch from the 15th to 16th centuries?",confirm,painters,1,2,confirm,1,0.03746212616,26.6936264,3.8229747,0.7058458
"Kazimir Malevich  genres still life, scenography. Kazimir Malevich  occupations printmaker, sculptor. ","Kazimir Malevich Still Life, Scenography Printmaker, Sculptor","When you mentioned Kazimir Malevich, were you referring to his still life or scenography painting, or perhaps to his work as a printmaker or sculptor?",confirm,painters,1,2,confirm,1,0.01680870664,59.49297714,3.176023543,0.7554861
Mary Cassatt  notable works Portrait of an Elderly Lady in a Bonnet: Red Background. Mary Cassatt  movements Impressionism.,Mary Cassatt Portrait Of An Elderly Lady In A Bonnet: Red Background Impressionism,Is the painting you're mentioning of Mary Cassatt's the Portrait of an Elderly Lady in a Bonnet: Red Background from the Impressionism movement?,confirm,painters,1,2,confirm,1,0.007915042282,126.341713,12.40959712,0.90864193
"Jean-Léon Gérôme  movements academic art, Neo-Grec. Jean-Léon Gérôme  nationality French. ","Jean-Léon Gérôme Academic Art, Neo-Grec French","Just to clarify, are you referring to a painting by Jean-Léon Gérôme from the academic art and Neo-Grec movements, who was French?",confirm,painters,1,2,confirm,1,0.00814488034,122.7765121,3.787865613,0.85540795
"John Constable  movements Romanticism, realism. John Constable  life period century XVIII - XIX. ","John Constable Romanticism, Realism Xviii - Xix","When you mentioned John Constable, were you referring to the Romanticism and realism movement painter from the late 18th to the 19th century?",confirm,painters,1,2,confirm,1,0.01450323338,68.95014191,3.582342119,0.6503639
"Francis Bacon  occupations painter, designer. Francis Bacon  notable works Three Studies for Figures at the Base of a Crucifixion, Head IV. ","Francis Bacon Painter, Designer Three Studies For Figures At The Base Of A Crucifixion, Head Iv","Just to confirm, are you referring to the painter and designer Francis Bacon, known for works like Three Studies for Figures at the Base of a Crucifixion and Head IV?",confirm,painters,1,2,confirm,1,0.01026258249,97.44136047,3.994369947,0.8784664
