index,mr_new,da,text,num_hops,num_triples,pseudo_mr,pred,probs,LM_prob,PPL,pseudo_bleu,scores,criteria,da_acc,length
0,"Star Trek: Picard review score average. Star Trek: Picard creator Jonathan Frakes, Hanelle Culpepper. Star Trek: Picard domain tv.",recommend,"Have you seen Star Trek: Picard, created by Jonathan Frakes and Hanelle Culpepper? It has an average review score.",1,3,"Star Trek: Picard Average 'Jonathan Frakes', 'Hanelle Culpepper'",recommend,0.7531815767,0.01187470964,84.21258545,10.90009698,0.7601165,match_scores,1,19
1,"The Empress review score average. The Empress character Duke in Bavaria, Prince of Vasa. The Empress domain tv.",give_opinion,The Empress is an average show with great characters like Duke in Bavaria and Prince of Vasa.,1,3,"The Empress Average Duke In Bavaria', Prince Of Vasa'",give_opinion,0.980191,0.005110891035,195.6605988,5.108099333,0.8771889,match_scores,1,17
2,"Breaking Bad genre crime television series. Breaking Bad character Lydia Rodarte-Quayle, Hank Schrader. Breaking Bad awards received Primetime Emmy Award for Outstanding Writing for a Drama Series. Breaking Bad review score excellent. Breaking Bad domain tv.",inform,Breaking Bad is an excellent-rated crime television series starring Lydia Rodarte-Quayle and Hank Schrader. It has won the Primetime Emmy Award for Outstanding Writing for a Drama Series.,1,5,"Breaking Bad 'Crime Television Series' 'Lydia Rodarte-Quayle', 'Hank Schrader' 'Primetime Emmy Award For Outstanding Writing For A Drama Series' Excellent",inform,0.9598866701,0.03248220129,30.78609085,4.469635059,0.8646118,match_scores,1,28
3,"Belgravia genre historical television series. Belgravia screenwriter Julian Fellowes. Belgravia cast member Jack Shalloo, Alice Eve. Belgravia awards received None. Belgravia character Duchess of Bedford, Duchess of Richmond. Belgravia review score average. Belgravia creator John Alexander. Belgravia domain tv.",inform,"Belgravia is an average-rated historical television series created by John Alexander, written by Julian Fellowes, and starring Jack Shalloo, Alice Eve, Duchess of Bedford, and Duchess of Richmond.",1,8,"Belgravia 'Historical Television Series' 'Julian Fellowes' 'Jack Shalloo', 'Alice Eve' 'None' Duchess Of Bedford', Duchess Of Richmond' Average 'John Alexander'",inform,0.986956954,0.01286752182,77.71504211,2.737435355,0.7361715,match_scores_PPL,1,28
4,"tv show specifier realistic. tv show cast member Kelly Reilly, Kevin Costner. tv show domain tv.",request,Is there a realistic TV show with Kelly Reilly and Kevin Costner?,1,3,"Realistic 'Kelly Reilly', 'Kevin Costner'",request,0.8912491202,0.009113816389,109.7235184,0,0.7839307,match_scores_PPL,1,12
5,Self Made: Inspired by the Life of Madam C. J. Walker review score average. Self Made: Inspired by the Life of Madam C. J. Walker domain tv.,give_opinion,I think Self Made: Inspired by the Life of Madam C. J. Walker is an average show.,1,6,Self Made: Inspired By The Life Of Madam C. J. Walker Average,give_opinion,0.98143506,0.01158869709,86.29097748,34.82207362,0.9257851,match_scores,1,17
6,tv show specifier engaging. tv show screenwriter Anja Marquardt. tv show domain tv.,request,Is there an engaging TV show from Anja Marquardt?,1,3,Engaging 'Anja Marquardt',request,0.9421213269,0.00684805328,146.0269012,0,0.7557749,match_scores,1,9
7,The Virgin Queen review score average. The Virgin Queen domain tv.,give_opinion,The Virgin Queen is an average show that is worth watching.,1,2,The Virgin Queen Average,give_opinion,0.97996694,0.009159352411,109.1780243,12.60596809,0.75097567,match_scores_PPL,1,11
8,tv show specifier engaging. tv show screenwriter Miikko Oikkonen. tv show domain tv.,request,Is there a Miikko Oikkonen show that was particularly engaging?,1,3,Engaging 'Miikko Oikkonen',request,0.9369083643,0.002899121319,344.9320984,0,0.833395,match_scores,1,10
9,"Galactica 1980 genre science fiction television series. Galactica 1980 cast member Kent McCord, Marj Dusay. Galactica 1980 creator Vince Edwards, Ron Satlof. Galactica 1980 domain tv.",inform,"Galactica 1980 is a science fiction television series starring Kent McCord, Marj Dusay, and created by Vince Edwards and Ron Satlof.",1,4,"Galactica 1980 'Science Fiction Television Series' 'Kent Mccord', 'Marj Dusay' 'Vince Edwards', 'Ron Satlof'",inform,0.985021174,0.007020911144,142.4316559,3.741943603,0.74174523,match_scores,1,21
10,tv show specifier cheerful. tv show screenwriter Will Dunn. tv show domain tv.,request,Is there a Will Dunn show that would make you feel cheerful?,1,3,Cheerful 'Will Dunn',request,0.9411956668,0.006306174713,158.5747375,0,0.7148261,match_scores,1,12
11,Ekaterina review score average. Ekaterina domain tv.,give_opinion,Ekaterina is an average TV show.,1,2,Ekaterina Average,give_opinion,0.9857956,0.005462235968,183.0752106,6.567274736,0.8220934,match_scores,1,6
12,tv show specifier interesting. tv show genre science fiction television series. tv show domain tv.,request,Can you think of an interesting science fiction television series?,1,3,Interesting 'Science Fiction Television Series',request,0.9602731466,0.01754570085,56.99401855,0,0.8550011,match_scores,1,10
13,Drop Dead Diva review score average. Drop Dead Diva screenwriter Josh Berman. Drop Dead Diva domain tv.,give_opinion,Drop Dead Diva is an average show with good writing from Josh Berman.,1,3,Drop Dead Diva Average 'Josh Berman',give_opinion,0.9700013,0.004436002394,225.4281921,10.57107086,0.8321922,match_scores,1,13
14,"The Empress genre biographical film. The Empress screenwriter Katharina Eyssen. The Empress review score average. The Empress awards received None. The Empress character Duke in Bavaria, Duke Maximilian Joseph. The Empress creator Katrin Gebbe, Florian Cossen. The Empress domain tv.",inform,"The Empress is an average-rated biographical film written by Katharina Eyssen and created by Katrin Gebbe and Florian Cossen, starring Duke in Bavaria and Duke Maximilian Joseph. It hasn't won any awards.",1,7,"The Empress 'Biographical Film' 'Katharina Eyssen' Average 'None' Duke In Bavaria', 'Duke Maximilian Joseph 'Katrin Gebbe', 'Florian Cossen'",inform,0.9462944865,0.01423391702,70.25473022,3.305370105,0.7261335,match_scores,1,32
15,The Affair genre drama television series. The Affair character Scotty Lockhart. The Affair domain tv.,inform,The Affair is a drama television series starring Scotty Lockhart.,1,3,The Affair 'Drama Television Series' 'Scotty Lockhart',inform,0.9587250948,0.01190037035,84.03099823,7.495553473,0.79126555,match_scores_PPL,1,10
16,"Obi-Wan Kenobi genre science fiction television series. Obi-Wan Kenobi creator Deborah Chow. Obi-Wan Kenobi character Darth Vader, Obi-Wan Kenobi. Obi-Wan Kenobi cast member Ewan McGregor, Jimmy Smits. Obi-Wan Kenobi awards received None. Obi-Wan Kenobi domain tv.",inform,"Obi-Wan Kenobi is a science fiction television series created by Deborah Chow and starring Ewan McGregor, Jimmy Smits, Darth Vader, and Obi-Wan Kenobi. It hasn't won any awards.",1,6,"Obi-Wan Kenobi 'Science Fiction Television Series' 'Deborah Chow' 'Darth Vader', 'Obi-Wan Kenobi' 'Ewan Mcgregor', 'Jimmy Smits' 'None'",inform,0.9877402186,0.04868585575,20.53984642,2.671196176,0.740822,match_scores,1,28
17,"Ekaterina review score average. Ekaterina cast member Danila Dunayev, Artyom Alekseev. Ekaterina domain tv.",recommend,"Have you seen Ekaterina, the TV show starring Danila Dunayev and Artyom Alekseev? It has an average review score.",1,3,"Ekaterina Average 'Danila Dunayev', 'Artyom Alekseev'",recommend,0.9504146576,0.01479137895,67.60694885,2.054026831,0.83100325,match_scores,1,19
18,tv show specifier overrated. tv show screenwriter Donald Glover. tv show domain tv.,request,Is there an overrated show from Donald Glover that you can think of?,1,3,Overrated 'Donald Glover',request,0.9700421095,0.016432859,60.85368347,0,0.8141111,match_scores,1,13
19,tv show specifier interesting. tv show creator Nick Hurran. tv show domain tv.,request,What interesting show have you seen from Nick Hurran?,1,3,Interesting 'Nick Hurran',request,0.9473356605,0.003118920257,320.6237793,0,0.74932873,match_scores_PPL,1,9
20,"Stranger Things genre science fiction television series. Stranger Things review score good. Stranger Things character Nancy Wheeler, Eleven. Stranger Things domain tv.",inform,Stranger Things is a good-rated science fiction television series starring Nancy Wheeler and Eleven.,1,4,"Stranger Things 'Science Fiction Television Series' Good 'Nancy Wheeler', 'Eleven'",inform,0.9852229357,0.01114703701,89.70993805,5.255923421,0.79117227,match_scores_PPL,1,14
21,Stranger Things review score good. Stranger Things awards received Screen Actors Guild Award for Outstanding Performance by an Ensemble in a Drama Series. Stranger Things domain tv.,recommend,Have you seen Stranger Things? It has a good review score and won the Screen Actors Guild Award for Outstanding Performance by an Ensemble in a Drama Series.,1,3,Stranger Things Good 'Screen Actors Guild Award For Outstanding Performance By An Ensemble In A Drama Series',recommend,0.8946182132,0.0548196379,18.24163818,7.232823449,0.88008606,match_scores_PPL,1,28
22,"Perry Mason review score average. Perry Mason character Perry Mason, Hamilton Burger. Perry Mason domain tv.",give_opinion,"Perry Mason is an average show, but I really enjoyed the characters Perry Mason and Hamilton Burger.",1,3,"Perry Mason Average 'Perry Mason', 'Hamilton Burger'",give_opinion,0.97766703,0.004836451685,206.7631531,4.48083616,0.7793979,match_scores,1,17
23,Black Earth Rising review score average. Black Earth Rising domain tv.,give_opinion,Black Earth Rising is an average TV show.,1,2,Black Earth Rising Average,give_opinion,0.9765087,0.007093110496,140.9818726,17.74740528,0.8089461,match_scores_PPL,1,8
24,The Big Bang Theory review score excellent. The Big Bang Theory screenwriter Steven Molaro. The Big Bang Theory awards received Primetime Emmy Award for Outstanding Lead Actor in a Comedy Series. The Big Bang Theory domain tv.,give_opinion,"The Big Bang Theory is an excellent show, with great writing from Steven Molaro and awards such as the Primetime Emmy Award for Outstanding Lead Actor in a Comedy Series.",1,4,The Big Bang Theory Excellent 'Steven Molaro' 'Primetime Emmy Award For Outstanding Lead Actor In A Comedy Series',give_opinion,0.97913915,0.06971323444,14.34447861,12.01739663,0.88464797,match_scores,1,30
25,The Last of Us genre adventure television series. The Last of Us screenwriter Neil Druckmann. The Last of Us domain tv.,inform,The Last of Us is an adventure television series written by Neil Druckmann.,1,3,The Last Of Us 'Adventure Television Series' 'Neil Druckmann',inform,0.9892724752,0.04067104809,24.58751488,6.285596338,0.79897565,match_scores_PPL,1,13
26,"Downton Abbey review score average. Downton Abbey creator Brian Kelly, David Evans. Downton Abbey screenwriter Shelagh Stephenson. Downton Abbey domain tv.",give_opinion,"I think Downton Abbey is an average show with good writing from Brian Kelly, David Evans, and Shelagh Stephenson.",1,4,"Downton Abbey Average 'Brian Kelly', 'David Evans' 'Shelagh Stephenson'",give_opinion,0.9813262,0.01558651221,64.15803528,3.8229747,0.82060134,match_scores,1,19
27,"Twin Peaks genre thriller television series. Twin Peaks creator Mark Frost, David Lynch. Twin Peaks review score excellent. Twin Peaks screenwriter David Lynch. Twin Peaks domain tv.",inform,"Twin Peaks is an excellent-rated thriller television series created by Mark Frost and David Lynch, written by David Lynch.",1,5,"Twin Peaks 'Thriller Television Series' 'Mark Frost', 'David Lynch' Excellent 'David Lynch'",inform,0.9859666228,0.03964857686,25.22158623,4.019656739,0.78704166,match_scores,1,19
28,"My Love from the Star genre romance film. My Love from the Star review score average. My Love from the Star creator Jang Tae-yoo. My Love from the Star character Heo Jun, Heo Gyun. My Love from the Star domain tv.",inform,"My Love from the Star is an average-rated romance film created by Jang Tae-yoo, starring Heo Jun and Heo Gyun.",1,5,"My Love From The Star 'Romance Film' Average 'Jang Tae-Yoo' 'Heo Jun', 'Heo Gyun'",inform,0.9385019541,0.01490525691,67.09042358,4.108053662,0.7741869,match_scores_PPL,1,20
29,Belgravia review score average. Belgravia creator John Alexander. Belgravia genre historical television series. Belgravia domain tv.,give_opinion,I think Belgravia is an average historical television series created by John Alexander.,1,4,Belgravia Average 'John Alexander' 'Historical Television Series',give_opinion,0.96896076,0.004730127381,211.4107971,2.839838723,0.8432792,match_scores,1,13
30,"tv show specifier realistic. tv show cast member Lalor Roddy, India Mullen. tv show domain tv.",request,Is there a show with Lalor Roddy and India Mullen that feels realistic?,1,3,"Realistic 'Lalor Roddy', 'India Mullen'",request,0.9309251904,0.002874558438,347.8795166,0,0.7822335,match_scores,1,13
31,tv show specifier funniest. tv show screenwriter Josh Friedman. tv show domain tv.,request,What's the funniest show you've seen from Josh Friedman?,1,3,Funniest 'Josh Friedman',request,0.9654192328,0.0190218255,52.57118988,0,0.78757924,match_scores_PPL,1,9
