mr_new,pseudo_mr,text,da,entity,num_hops,num_triples,pred,da_acc,LM_prob,PPL,pseudo_bleu,BBLEU
"Star Trek: Picard review score average. Star Trek: Picard creator Jonathan Frakes, Hanelle Culpepper. Star Trek: Picard domain tv.","Star Trek: Picard Average 'Jonathan Frakes', 'Hanelle Culpepper'","Have you seen Star Trek: Picard, created by Jonathan Frakes and Hanelle Culpepper? It has an average review score.",recommend,TV shows,1,3,recommend,1,0.01187470964,84.21258545,10.90009698,0.7601165
"The Empress review score average. The Empress character Duke in Bavaria, Prince of Vasa. The Empress domain tv.","The Empress Average Duke In Bavaria', Prince Of Vasa'",The Empress is an average show with great characters like Duke in Bavaria and Prince of Vasa.,give_opinion,TV shows,1,3,give_opinion,1,0.005110891035,195.6605988,5.108099333,0.8771889
"Breaking Bad genre crime television series. Breaking Bad character Lydia Rodarte-Quayle, Hank Schrader. Breaking Bad awards received Primetime Emmy Award for Outstanding Writing for a Drama Series. Breaking Bad review score excellent. Breaking Bad domain tv.","Breaking Bad 'Crime Television Series' 'Lydia Rodarte-Quayle', 'Hank Schrader' 'Primetime Emmy Award For Outstanding Writing For A Drama Series' Excellent",Breaking Bad is an excellent-rated crime television series starring Lydia Rodarte-Quayle and Hank Schrader. It has won the Primetime Emmy Award for Outstanding Writing for a Drama Series.,inform,TV shows,1,5,inform,1,0.03248220129,30.78609085,4.469635059,0.8646118
"Belgravia genre historical television series. Belgravia screenwriter Julian Fellowes. Belgravia cast member Jack Shalloo, Alice Eve. Belgravia awards received None. Belgravia character Duchess of Bedford, Duchess of Richmond. Belgravia review score average. Belgravia creator John Alexander. Belgravia domain tv.","Belgravia 'Historical Television Series' 'Julian Fellowes' 'Jack Shalloo', 'Alice Eve' 'None' Duchess Of Bedford', Duchess Of Richmond' Average 'John Alexander'","Belgravia is an average-rated historical television series created by John Alexander, written by Julian Fellowes, and starring Jack Shalloo, Alice Eve, Duchess of Bedford, and Duchess of Richmond.",inform,TV shows,1,8,inform,1,0.01286752182,77.71504211,2.737435355,0.7361715
"tv show specifier realistic. tv show cast member Kelly Reilly, Kevin Costner. tv show domain tv.","Realistic 'Kelly Reilly', 'Kevin Costner'",Is there a realistic TV show with Kelly Reilly and Kevin Costner?,request,TV shows,1,3,request,1,0.009113816389,109.7235184,0.0,0.7839307
Self Made: Inspired by the Life of Madam C. J. Walker review score average. Self Made: Inspired by the Life of Madam C. J. Walker domain tv.,Self Made: Inspired By The Life Of Madam C. J. Walker Average,I think Self Made: Inspired by the Life of Madam C. J. Walker is an average show.,give_opinion,TV shows,1,6,give_opinion,1,0.01158869709,86.29097748,34.82207362,0.9257851
tv show specifier engaging. tv show screenwriter Anja Marquardt. tv show domain tv.,Engaging 'Anja Marquardt',Is there an engaging TV show from Anja Marquardt?,request,TV shows,1,3,request,1,0.00684805328,146.0269012,0.0,0.7557749
The Virgin Queen review score average. The Virgin Queen domain tv.,The Virgin Queen Average,The Virgin Queen is an average show that is worth watching.,give_opinion,TV shows,1,2,give_opinion,1,0.009159352411,109.1780243,12.60596809,0.75097567
tv show specifier engaging. tv show screenwriter Miikko Oikkonen. tv show domain tv.,Engaging 'Miikko Oikkonen',Is there a Miikko Oikkonen show that was particularly engaging?,request,TV shows,1,3,request,1,0.002899121319,344.9320984,0.0,0.833395
"Galactica 1980 genre science fiction television series. Galactica 1980 cast member Kent McCord, Marj Dusay. Galactica 1980 creator Vince Edwards, Ron Satlof. Galactica 1980 domain tv.","Galactica 1980 'Science Fiction Television Series' 'Kent Mccord', 'Marj Dusay' 'Vince Edwards', 'Ron Satlof'","Galactica 1980 is a science fiction television series starring Kent McCord, Marj Dusay, and created by Vince Edwards and Ron Satlof.",inform,TV shows,1,4,inform,1,0.007020911144,142.4316559,3.741943603,0.74174523
tv show specifier cheerful. tv show screenwriter Will Dunn. tv show domain tv.,Cheerful 'Will Dunn',Is there a Will Dunn show that would make you feel cheerful?,request,TV shows,1,3,request,1,0.006306174713,158.5747375,0.0,0.7148261
Ekaterina review score average. Ekaterina domain tv.,Ekaterina Average,Ekaterina is an average TV show.,give_opinion,TV shows,1,2,give_opinion,1,0.005462235968,183.0752106,6.567274736,0.8220934
tv show specifier interesting. tv show genre science fiction television series. tv show domain tv.,Interesting 'Science Fiction Television Series',Can you think of an interesting science fiction television series?,request,TV shows,1,3,request,1,0.01754570085,56.99401855,0.0,0.8550011
Drop Dead Diva review score average. Drop Dead Diva screenwriter Josh Berman. Drop Dead Diva domain tv.,Drop Dead Diva Average 'Josh Berman',Drop Dead Diva is an average show with good writing from Josh Berman.,give_opinion,TV shows,1,3,give_opinion,1,0.004436002394,225.4281921,10.57107086,0.8321922
"The Empress genre biographical film. The Empress screenwriter Katharina Eyssen. The Empress review score average. The Empress awards received None. The Empress character Duke in Bavaria, Duke Maximilian Joseph. The Empress creator Katrin Gebbe, Florian Cossen. The Empress domain tv.","The Empress 'Biographical Film' 'Katharina Eyssen' Average 'None' Duke In Bavaria', 'Duke Maximilian Joseph 'Katrin Gebbe', 'Florian Cossen'","The Empress is an average-rated biographical film written by Katharina Eyssen and created by Katrin Gebbe and Florian Cossen, starring Duke in Bavaria and Duke Maximilian Joseph. It hasn't won any awards.",inform,TV shows,1,7,inform,1,0.01423391702,70.25473022,3.305370105,0.7261335
The Affair genre drama television series. The Affair character Scotty Lockhart. The Affair domain tv.,The Affair 'Drama Television Series' 'Scotty Lockhart',The Affair is a drama television series starring Scotty Lockhart.,inform,TV shows,1,3,inform,1,0.01190037035,84.03099823,7.495553473,0.79126555
"Obi-Wan Kenobi genre science fiction television series. Obi-Wan Kenobi creator Deborah Chow. Obi-Wan Kenobi character Darth Vader, Obi-Wan Kenobi. Obi-Wan Kenobi cast member Ewan McGregor, Jimmy Smits. Obi-Wan Kenobi awards received None. Obi-Wan Kenobi domain tv.","Obi-Wan Kenobi 'Science Fiction Television Series' 'Deborah Chow' 'Darth Vader', 'Obi-Wan Kenobi' 'Ewan Mcgregor', 'Jimmy Smits' 'None'","Obi-Wan Kenobi is a science fiction television series created by Deborah Chow and starring Ewan McGregor, Jimmy Smits, Darth Vader, and Obi-Wan Kenobi. It hasn't won any awards.",inform,TV shows,1,6,inform,1,0.04868585575,20.53984642,2.671196176,0.740822
"Ekaterina review score average. Ekaterina cast member Danila Dunayev, Artyom Alekseev. Ekaterina domain tv.","Ekaterina Average 'Danila Dunayev', 'Artyom Alekseev'","Have you seen Ekaterina, the TV show starring Danila Dunayev and Artyom Alekseev? It has an average review score.",recommend,TV shows,1,3,recommend,1,0.01479137895,67.60694885,2.054026831,0.83100325
tv show specifier overrated. tv show screenwriter Donald Glover. tv show domain tv.,Overrated 'Donald Glover',Is there an overrated show from Donald Glover that you can think of?,request,TV shows,1,3,request,1,0.016432859,60.85368347,0.0,0.8141111
tv show specifier interesting. tv show creator Nick Hurran. tv show domain tv.,Interesting 'Nick Hurran',What interesting show have you seen from Nick Hurran?,request,TV shows,1,3,request,1,0.003118920257,320.6237793,0.0,0.74932873
"Stranger Things genre science fiction television series. Stranger Things review score good. Stranger Things character Nancy Wheeler, Eleven. Stranger Things domain tv.","Stranger Things 'Science Fiction Television Series' Good 'Nancy Wheeler', 'Eleven'",Stranger Things is a good-rated science fiction television series starring Nancy Wheeler and Eleven.,inform,TV shows,1,4,inform,1,0.01114703701,89.70993805,5.255923421,0.79117227
Stranger Things review score good. Stranger Things awards received Screen Actors Guild Award for Outstanding Performance by an Ensemble in a Drama Series. Stranger Things domain tv.,Stranger Things Good 'Screen Actors Guild Award For Outstanding Performance By An Ensemble In A Drama Series',Have you seen Stranger Things? It has a good review score and won the Screen Actors Guild Award for Outstanding Performance by an Ensemble in a Drama Series.,recommend,TV shows,1,3,recommend,1,0.0548196379,18.24163818,7.232823449,0.88008606
"Perry Mason review score average. Perry Mason character Perry Mason, Hamilton Burger. Perry Mason domain tv.","Perry Mason Average 'Perry Mason', 'Hamilton Burger'","Perry Mason is an average show, but I really enjoyed the characters Perry Mason and Hamilton Burger.",give_opinion,TV shows,1,3,give_opinion,1,0.004836451685,206.7631531,4.48083616,0.7793979
Black Earth Rising review score average. Black Earth Rising domain tv.,Black Earth Rising Average,Black Earth Rising is an average TV show.,give_opinion,TV shows,1,2,give_opinion,1,0.007093110496,140.9818726,17.74740528,0.8089461
The Big Bang Theory review score excellent. The Big Bang Theory screenwriter Steven Molaro. The Big Bang Theory awards received Primetime Emmy Award for Outstanding Lead Actor in a Comedy Series. The Big Bang Theory domain tv.,The Big Bang Theory Excellent 'Steven Molaro' 'Primetime Emmy Award For Outstanding Lead Actor In A Comedy Series',"The Big Bang Theory is an excellent show, with great writing from Steven Molaro and awards such as the Primetime Emmy Award for Outstanding Lead Actor in a Comedy Series.",give_opinion,TV shows,1,4,give_opinion,1,0.06971323444,14.34447861,12.01739663,0.88464797
The Last of Us genre adventure television series. The Last of Us screenwriter Neil Druckmann. The Last of Us domain tv.,The Last Of Us 'Adventure Television Series' 'Neil Druckmann',The Last of Us is an adventure television series written by Neil Druckmann.,inform,TV shows,1,3,inform,1,0.04067104809,24.58751488,6.285596338,0.79897565
"Downton Abbey review score average. Downton Abbey creator Brian Kelly, David Evans. Downton Abbey screenwriter Shelagh Stephenson. Downton Abbey domain tv.","Downton Abbey Average 'Brian Kelly', 'David Evans' 'Shelagh Stephenson'","I think Downton Abbey is an average show with good writing from Brian Kelly, David Evans, and Shelagh Stephenson.",give_opinion,TV shows,1,4,give_opinion,1,0.01558651221,64.15803528,3.8229747,0.82060134
"Twin Peaks genre thriller television series. Twin Peaks creator Mark Frost, David Lynch. Twin Peaks review score excellent. Twin Peaks screenwriter David Lynch. Twin Peaks domain tv.","Twin Peaks 'Thriller Television Series' 'Mark Frost', 'David Lynch' Excellent 'David Lynch'","Twin Peaks is an excellent-rated thriller television series created by Mark Frost and David Lynch, written by David Lynch.",inform,TV shows,1,5,inform,1,0.03964857686,25.22158623,4.019656739,0.78704166
"My Love from the Star genre romance film. My Love from the Star review score average. My Love from the Star creator Jang Tae-yoo. My Love from the Star character Heo Jun, Heo Gyun. My Love from the Star domain tv.","My Love From The Star 'Romance Film' Average 'Jang Tae-Yoo' 'Heo Jun', 'Heo Gyun'","My Love from the Star is an average-rated romance film created by Jang Tae-yoo, starring Heo Jun and Heo Gyun.",inform,TV shows,1,5,inform,1,0.01490525691,67.09042358,4.108053662,0.7741869
Belgravia review score average. Belgravia creator John Alexander. Belgravia genre historical television series. Belgravia domain tv.,Belgravia Average 'John Alexander' 'Historical Television Series',I think Belgravia is an average historical television series created by John Alexander.,give_opinion,TV shows,1,4,give_opinion,1,0.004730127381,211.4107971,2.839838723,0.8432792
"tv show specifier realistic. tv show cast member Lalor Roddy, India Mullen. tv show domain tv.","Realistic 'Lalor Roddy', 'India Mullen'",Is there a show with Lalor Roddy and India Mullen that feels realistic?,request,TV shows,1,3,request,1,0.002874558438,347.8795166,0.0,0.7822335
tv show specifier funniest. tv show screenwriter Josh Friedman. tv show domain tv.,Funniest 'Josh Friedman',What's the funniest show you've seen from Josh Friedman?,request,TV shows,1,3,request,1,0.0190218255,52.57118988,0.0,0.78757924
"The Girlfriend Experience review score average. The Girlfriend Experience creator Anja Marquardt, Amy Seimetz. The Girlfriend Experience domain tv.","The Girlfriend Experience Average 'Anja Marquardt', 'Amy Seimetz'","I think The Girlfriend Experience is an average show thanks to its creators, Anja Marquardt and Amy Seimetz.",give_opinion,TV shows,1,3,give_opinion,1,0.01994959482,50.12633133,7.658412276,0.7919617
Wolf Hall review score average. Wolf Hall awards received Golden Globe Award for Best Miniseries or Television Film. Wolf Hall domain tv.,Wolf Hall Average 'Golden Globe Award For Best Miniseries Or Television Film',Have you heard of Wolf Hall? It has an average review score and won the Golden Globe Award for Best Miniseries or Television Film.,recommend,TV shows,1,3,recommend,1,0.01816921509,55.03815079,5.200788807,0.8637807
tv show specifier boring. tv show creator Mark Cendrowski. tv show domain tv.,Boring 'Mark Cendrowski',Did you find any Mark Cendrowski show boring?,request,TV shows,1,3,request,1,0.001083773567,922.7019653,0.0,0.84534246
"tv show specifier funniest. tv show creator Edward Bazalgette, Nick Murphy. tv show domain tv.","Funniest 'Edward Bazalgette', 'Nick Murphy'",What's the funniest show you've seen from Edward Bazalgette and Nick Murphy?,request,TV shows,1,3,request,1,0.01069245368,93.52390289,0.0,0.8320809
"Freud review score average. Freud character Amalia Freud, Crown Prince of Austria. Freud domain tv.","Freud Average 'Amalia Freud', Crown Prince Of Austria'","Freud is an average show, but the characters of Amalia Freud and the Crown Prince of Austria are engaging.",give_opinion,TV shows,1,3,give_opinion,1,0.005530427266,180.8178558,4.319402268,0.8949517
Lonesome Dove genre television western. Lonesome Dove screenwriter William D. Wittliff. Lonesome Dove domain tv.,Lonesome Dove 'Television Western' 'William D. Wittliff',Lonesome Dove is a television western written by William D. Wittliff.,inform,TV shows,1,4,inform,1,0.006683968806,149.6117096,8.737167852,0.7923812
