mr_new,pseudo_mr,text,da,entity,num_hops,num_triples
Kiki VanDeWeghe sport basketball. Kiki VanDeWeghe awards N/A. Kiki VanDeWeghe domain athletes.,Kiki Vandeweghe Basketball N/A," Are you talking about Kiki VanDeWeghe, the basketball player?",confirm,athletes,1,3
"Dwayne Johnson sport professional wrestling. Dwayne Johnson sports teams Calgary Stampeders, Miami Hurricanes football. Dwayne Johnson domain athletes.","Dwayne Johnson Professional Wrestling Calgary Stampeders, Miami Hurricanes Football"," Are we talking about Dwayne Johnson, the professional wrestler who played for the Calgary Stampeders and the Miami Hurricanes football team?",confirm,athletes,1,3
Davie Selke sport association football. Davie Selke awards N/A. Davie Selke domain athletes.,Davie Selke Association Football N/A," Are you talking about Davie Selke, the association football athlete?",confirm,athletes,1,3
Oleksandr Usyk sport boxing. Oleksandr Usyk sports teams N/A. Oleksandr Usyk domain athletes.,Oleksandr Usyk Boxing N/A," Are you talking about Oleksandr Usyk, the boxing athlete?",confirm,athletes,1,3
Hugo Dellien sport tennis. Hugo Dellien start time 1980. Hugo Dellien domain athletes.,Hugo Dellien Tennis 1980," Are you talking about Hugo Dellien, the tennis athlete who started playing in 1980?",confirm,athletes,1,3
Cristiano Ronaldo sport association football. Cristiano Ronaldo start time 2002. Cristiano Ronaldo domain athletes.,Cristiano Ronaldo Association Football 2002," Are you talking about Cristiano Ronaldo, the association football athlete who started in 2002?",confirm,athletes,1,3
John Fleck sport association football. John Fleck awards N/A. John Fleck domain athletes.,John Fleck Association Football N/A," Are you referring to John Fleck, the association football athlete?",confirm,athletes,1,3
John Fleck sport association football. John Fleck stats leader N/A. John Fleck domain athletes.,John Fleck Association Football N/A," Are you talking about John Fleck, the association football player?",confirm,athletes,1,3
Lionel Messi sport association football. Lionel Messi place of birth Rosario. Lionel Messi domain athletes.,Lionel Messi Association Football Rosario," Are you talking about Lionel Messi, the association football player from Rosario?",confirm,athletes,1,3
Nick Kyrgios sport tennis. Nick Kyrgios stats leader N/A. Nick Kyrgios domain athletes.,Nick Kyrgios Tennis N/A," Are you talking about Nick Kyrgios, the tennis player?",confirm,athletes,1,3
"Yari Verschaeren sport association football. Yari Verschaeren sports teams R.S.C. Anderlecht, Belgium national under-21 football team. Yari Verschaeren domain athletes.","Yari Verschaeren Association Football R.S.C. Anderlecht, Belgium National Under-21 Football Team"," Are you talking about Yari Verschaeren, the association football player who is part of R.S.C. Anderlecht and the Belgium national under-21 football team?",confirm,athletes,1,3
Oleksandr Usyk sport boxing. Oleksandr Usyk stats leader N/A. Oleksandr Usyk domain athletes.,Oleksandr Usyk Boxing N/A," Are you talking about Oleksandr Usyk, the boxing athlete?",confirm,athletes,1,3
Liam Neeson sport association football. Liam Neeson awards Theatre World Award. Liam Neeson domain athletes.,Liam Neeson Association Football Theatre World Award," Are you talking about Liam Neeson, the association football player who has won the Theatre World Award?",confirm,athletes,1,3
Alexis Mac Allister sport association football. Alexis Mac Allister stats leader Poland v Argentina. Alexis Mac Allister domain athletes.,Alexis Mac Allister Association Football Poland V Argentina," Are you talking about Alexis Mac Allister, the association football athlete who led Poland v Argentina?",confirm,athletes,1,3
Logan Paul sport boxing. Logan Paul awards Diamond Play Button. Logan Paul domain athletes.,Logan Paul Boxing Diamond Play Button," Are you talking about Logan Paul, the boxer who has been awarded a Diamond Play Button?",confirm,athletes,1,3
Zizinho sport association football. Zizinho num awards 0. Zizinho domain athletes.,Zizinho Association Football 0," Are you talking about Zizinho, the association football player who has won no awards?",confirm,athletes,1,3
Larry Bird sport basketball. Larry Bird team positions power forward. Larry Bird domain athletes.,Larry Bird Basketball Power Forward," Are you bringing up Larry Bird, the basketball athlete known for his power forward position?",confirm,athletes,1,3
Paul Pogba sport association football. Paul Pogba num awards 1. Paul Pogba domain athletes.,Paul Pogba Association Football 1," Are you talking about Paul Pogba, the association football athlete with one award?",confirm,athletes,1,3
Peter Lorimer sport association football. Peter Lorimer awards N/A. Peter Lorimer domain athletes.,Peter Lorimer Association Football N/A," Are you talking about Peter Lorimer, the association football athlete?",confirm,athletes,1,3
Marta Xargay sport basketball. Marta Xargay num awards 0. Marta Xargay domain athletes.,Marta Xargay Basketball 0," Are you talking about Marta Xargay, the basketball athlete who has won 0 awards?",confirm,athletes,1,3
Besart Berisha sport association football. Besart Berisha team positions forward. Besart Berisha domain athletes.,Besart Berisha Association Football Forward," Are you talking about Besart Berisha, the association football player who is a forward?",confirm,athletes,1,3
O. J. Simpson sport athletics. O. J. Simpson num awards 2. O. J. Simpson domain athletes.,O. J. Simpson Athletics 2," Are you talking about O. J. Simpson, the athletics athlete who has won two awards?",confirm,athletes,1,3
John Fleck sport association football. John Fleck num awards 0. John Fleck domain athletes.,John Fleck Association Football 0," Are you talking about John Fleck, the association football athlete who has won zero awards?",confirm,athletes,1,3
Paul Pogba sport association football. Paul Pogba stats leader match 51 of 2014 FIFA World Cup. Paul Pogba domain athletes.,Paul Pogba Association Football Match 51 Of 2014 Fifa World Cup," Are you talking about Paul Pogba, the association football athlete who was the leader in match 51 of the 2014 FIFA World Cup?",confirm,athletes,1,3
Wayne Rooney sport association football. Wayne Rooney start time 2002. Wayne Rooney domain athletes.,Wayne Rooney Association Football 2002," Are you talking about Wayne Rooney, the association football player who started in 2002?",confirm,athletes,1,3
Carlos Alcaraz sport tennis. Carlos Alcaraz stats leader N/A. Carlos Alcaraz domain athletes.,Carlos Alcaraz Tennis N/A," Are you talking about Carlos Alcaraz, the tennis player?",confirm,athletes,1,3
Maryna Zanevska sport tennis. Maryna Zanevska sports teams Belgium Billie Jean King Cup team. Maryna Zanevska domain athletes.,Maryna Zanevska Tennis Belgium Billie Jean King Cup Team," Are you talking about Maryna Zanevska, the tennis player who was part of the Belgium Billie Jean King Cup team?",confirm,athletes,1,3
Ronaldo sport association football. Ronaldo num awards 11. Ronaldo domain athletes.,Ronaldo Association Football 11," Are you talking about Ronaldo, the association football player who has won 11 awards?",confirm,athletes,1,3
"Conor Washington sport association football. Conor Washington sports teams Newport County A.F.C., Peterborough United F.C.. Conor Washington domain athletes.","Conor Washington Association Football Newport County A.F.C., Peterborough United F.C."," Are you talking about Conor Washington, the association football player who has played for Newport County A.F.C. and Peterborough United F.C.?",confirm,athletes,1,3
Robert Lewandowski sport association football. Robert Lewandowski place of birth Warsaw. Robert Lewandowski domain athletes.,Robert Lewandowski Association Football Warsaw," Are you talking about Robert Lewandowski, the association football player from Warsaw?",confirm,athletes,1,3
Larry Bird sport basketball. Larry Bird awards NBA All-Rookie Team. Larry Bird domain athletes.,Larry Bird Basketball Nba All-Rookie Team," Are you talking about Larry Bird, the basketball athlete who made the NBA All-Rookie Team?",confirm,athletes,1,3
"Marta Xargay sport basketball. Marta Xargay sports teams CB Avenida, Dynamo Kursk. Marta Xargay domain athletes.","Marta Xargay Basketball Cb Avenida, Dynamo Kursk"," Are you talking about Marta Xargay, the basketball player who plays for CB Avenida and Dynamo Kursk?",confirm,athletes,1,3
Wayne Rooney sport association football. Wayne Rooney awards Bravo Award. Wayne Rooney domain athletes.,Wayne Rooney Association Football Bravo Award," Are you talking about Wayne Rooney, the association football player who has won the Bravo Award?",confirm,athletes,1,3
Conor Washington sport association football. Conor Washington place of birth Chatham. Conor Washington domain athletes.,Conor Washington Association Football Chatham," Are you talking about Conor Washington, the association football player from Chatham?",confirm,athletes,1,3
Ahmad Nourollahi sport association football. Ahmad Nourollahi awards N/A. Ahmad Nourollahi domain athletes.,Ahmad Nourollahi Association Football N/A," Are you talking about Ahmad Nourollahi, the association football athlete?",confirm,athletes,1,3
Arike Ogunbowale sport basketball. Arike Ogunbowale team positions point guard. Arike Ogunbowale domain athletes.,Arike Ogunbowale Basketball Point Guard," Are you talking about Arike Ogunbowale, the point guard from the world of basketball?",confirm,athletes,1,3
"Ronaldo sport association football. Ronaldo date of birth September 22, 1976. Ronaldo domain athletes.","Ronaldo Association Football September 22, 1976"," Are you talking about Ronaldo, the association football player born on September 22, 1976?",confirm,athletes,1,3
"Zizinho sport association football. Zizinho sports teams Brazil national football team, Audax Italiano. Zizinho domain athletes.","Zizinho Association Football Brazil National Football Team, Audax Italiano"," Are you talking about Zizinho, the association football player who has been part of the Brazil national football team and Audax Italiano?",confirm,athletes,1,3
